"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Strategic Enhancement of Maritime Human Resource Quality: An Integrated Approach to Assessment, Talent Management, and Competency Development","https://scispace.com/paper/strategic-enhancement-of-maritime-human-resource-quality-an-y2uub8hun3i2","2025","Journal Article","International research journal of innovations in engineering and technology","Gatot Cahyo Sudewo
Herdiesel Santoso
Primadi Candra Susanto","10.47001/irjiet/2025.907015","","The maritime industry, vital to global trade, faces increasing demands for a highly skilled workforce to navigate technological advancements, environmental regulations, and operational complexities. This paper explores strategies to enhance maritime human resources quality through robust assessment, talent management, and competency development. By analyzing skill gaps, integrating advanced assessment tools, and implementing strategic talent management frameworks, we aim to elevate workforce capabilities. A mixed-methods approach, combining quantitative data from seafarer performance metrics and qualitative insights from industry stakeholders, reveals that systematic competency assessments and tailored development programs significantly improve operational efficiency and safety. Our findings highlight the importance of continuous learning to address emerging needs, such as digital navigation and sustainable practices, while talent management fosters retention and career progression. Furthermore, competency development initiatives, including simulator-based training and leadership programs, equip seafarers to handle modern challenges. We propose an integrated model that aligns assessment, talent management, and competency development to build a resilient workforce. This study underscores the need for collaboration among maritime organizations, educational institutions, and regulators to implement these strategies effectively. By prioritizing human resource quality, the industry can ensure adaptability, safety, and sustainability in global maritime operations. ","This study proposes an integrated model to enhance maritime human resource quality through robust assessment, talent management, and competency development, leveraging mixed-methods research to improve operational efficiency, safety, and sustainability in global maritime operations."
"The Port as a Set of Socio-technical Systems: A Multi-organisational View","https://scispace.com/paper/the-port-as-a-set-of-socio-technical-systems-a-multi-4hcyg6droe","2021","Book Chapter","","Sandra Haraldson
Mikael Lind
Stefan Breitenbach
Juan Carlos Croston
Mathias Karlsson
Gerald Hirt","10.1007/978-3-030-50892-0_4","","A multi-organisational perspective is a valuable lens for understanding the operations of a port and the implications for maritime informatics. A port can be viewed as a conglomerate of collaborative entities confined, typically, to a harbour. It can also be analysed as a set of socio-technical systems, which is particularly useful for change management. A port’s organisations co-create value by means of value chains and value networks. The organisations within a port, each and collectively, operate five types of systems—engagement, production, record, inquiry, and framing, ideally by and within an organisation and across organisations through virtuous interrelationships enabled by digital technology.","In this article, a multi-organisational perspective is used to understand the operations of a port and the implications for maritime informatics, where a port can be viewed as a conglomerate of collaborative entities confined, typically, to a harbour."
"Labour force management in maritime ports: A comprehensive systematic literature review","https://scispace.com/paper/labour-force-management-in-maritime-ports-a-comprehensive-3wcaym8p7k","2024","Journal Article","Heliyon","Adriana Moros-Daza
Maria Jubiz-Diaz","10.1016/j.heliyon.2024.e31401","","The COVID-19 pandemic led to a labour shortage crisis at maritime ports. Therefore, stakeholders of this industry must have robust tools to maintain good performance indicators of productivity and competitiveness. One of the most critical issues is the labour force related to allocation, performance evaluation, and foreseeing/adapting to new requirements. Many authors have studied the characteristics, elements, trends, and factors crucial in its management. However, there needs to be a comprehensive understanding of this concern. Therefore, this paper aims to develop a systematic literature review on labour force management in the maritime ports to (1) understand the elements and factors that strongly relate to human management and (2) identify future research directions to address the impact of labour shortages. Research questions and keywords were used to search academic databases for peer-reviewed papers, articles, or books. The search, selection and quality assessment processes were performed using the PRISMA methodology. This resulted in 32 documents for review and categorised based on their contributions to the research questions and content. The main findings include factors in labour force management, challenges in optimisation, technology and automation use, methods for evaluating performance, and the impact of the regulatory framework. In addition, potential future research streams were proposed to guide further studies into the needs of this industry. ","This systematic literature review examines labour force management in maritime ports, identifying key elements, factors, and challenges, and proposes future research directions to address labour shortages and improve productivity and competitiveness."
"Organisational Effectiveness in Seaports: A Systems Approach","https://scispace.com/paper/organisational-effectiveness-in-seaports-a-systems-approach-4yh18ghnen","2010","Posted Content","Research Papers in Economics","Cimen Karatas Cetin
Güldem Cerit","","","Organizational Effectiveness (OE) is a rather new concept in the port business literature and not widely studied before. From the systems perspective, this concept focuses on the goals of the organization, the resources needed to achieve these goals, and the relationship between the organization and its environment. The reason behind choosing a systems approach is the significant role of seaports as open systems affected by changes and developments in world trade, supply chain and logistics trends, maritime transport, and technological developments. While seaports are multi-faceted organizations that constitute different interdependent and integrated units in their structure, they can also be regarded as the subsystems of the supply chain system. As being the social and technical systems, port organizations have unique characteristics that should be examined in detail to assess their effectiveness. To assess the effectiveness of port organizations, principally a set of effectiveness measures applicable to seaports should be determined. The main aim of this study is to assess the relative importance of the main effectiveness criteria in seaports and to determine the significance of main inputs and port subsystems which can be referred as the means to achieve effectiveness. By using the systems approach, the inputs, the processes, and the outputs of the port organizations are clearly defined with a conceptual model. Thirty-three statements have been developed under the main categories in the systems model and a two-round delphi survey is conducted, and qualitative analysis of the experts’ opinions is carried out. The results of the delphi survey show that the main port inputs are port infrastructure, equipments, technology, and port labor; the major port processes are ship and cargo operations together with the logistics services, safety and security, information technologies, and marketing; and the most important effectiveness measures for the seaports are productivity, efficiency, service quality, adaptability, information and communication management, profitability, human resource quality, and customer satisfaction.","In this article, a two-round delphi survey is conducted to assess the relative importance of the main effectiveness criteria in seaports and to determine the significance of main inputs and port subsystems which can be referred as the means to achieve effectiveness."
"Organizational effectiveness at seaports: a systems approach","https://scispace.com/paper/organizational-effectiveness-at-seaports-a-systems-approach-hbidmq4qhx","2010","Journal Article","Maritime Policy & Management","Çimen Karataş Çetin
A. Güldem Cerit","10.1080/03088831003700611","","Organizational Effectiveness (OE) is a rather new concept in the port business literature and not widely studied before. From the systems perspective, this concept focuses on the goals of the organization, the resources needed to achieve these goals, and the relationship between the organization and its environment. The reason behind choosing a systems approach is the significant role of seaports as open systems affected by changes and developments in world trade, supply chain and logistics trends, maritime transport, and technological developments. While seaports are multi-faceted organizations that constitute different interdependent and integrated units in their structure, they can also be regarded as the subsystems of the supply chain system. As being the social and technical systems, port organizations have unique characteristics that should be examined in detail to assess their effectiveness. To assess the effectiveness of port organizations, principally a set of effectiveness measures applicable to seaports should be determined. The main aim of this study is to assess the relative importance of the main effectiveness criteria in seaports and to determine the significance of main inputs and port subsystems which can be referred as the means to achieve effectiveness. By using the systems approach, the inputs, the processes, and the outputs of the port organizations are clearly defined with a conceptual model. Thirty-three statements have been developed under the main categories in the systems model and a two-round delphi survey is conducted, and qualitative analysis of the experts' opinions is carried out. The results of the delphi survey show that the main port inputs are port infrastructure, equipments, technology, and port labor; the major port processes are ship and cargo operations together with the logistics services, safety and security, information technologies, and marketing; and the most important effectiveness measures for the seaports are productivity, efficiency, service quality, adaptability, information and communication management, profitability, human resource quality, and customer satisfaction.","In this article, a two-round delphi survey is conducted to assess the relative importance of the main effectiveness criteria in seaports and to determine the significance of main inputs and port subsystems which can be referred as the means to achieve effectiveness."
"Beyond a series of security nets: applying STAMP & STPA to port security","https://scispace.com/paper/beyond-a-series-of-security-nets-applying-stamp-stpa-to-port-4nbe7rjpw0","2015","Journal Article","Springer US","Adam David Williams
Adam David Williams","","","Port security is an increasing concern given the significant role of ports in global commerce and today’s increasingly complex threat environment. Current approaches to port security mirror traditional models of accident causality – ‘a series of security nets’ based on component reliability and probabilistic assumptions. Traditional port security frameworks result in isolated and inconsistent improvement strategies. Recent work in engineered safety combines the ideas of hierarchy, emergence, control and communication into a new paradigm for understanding port security as an emergent complex system property. The ‘System-Theoretic Accident Model and Process (STAMP)’ is a new model of causality based on systems and control theory. The associated analysis process – System Theoretic Process Analysis (STPA) – identifies specific technical or procedural security requirements designed to work in coordination with (and be traceable to) overall port objectives. This process yields port security design specifications that can mitigate (if not eliminate) port security vulnerabilities related to an emphasis on component reliability, lack of coordination between port security stakeholders or economic pressures endemic in the maritime industry. This article aims to demonstrate how STAMP’s broader view of causality and complexity can better address the dynamic and interactive behaviors of social, organizational and technical components of port security.","This article aims to demonstrate how STAMP’s broader view of causality and complexity can better address the dynamic and interactive behaviors of social, organizational and technical components of port security."
"Beyond a series of security nets: Applying STAMP & STPA to port security","https://scispace.com/paper/beyond-a-series-of-security-nets-applying-stamp-stpa-to-port-2ql9jq7nf9","2015","Journal Article","Journal of Transportation Security","Adam David Williams
Adam David Williams","10.1007/S12198-015-0161-Y","","Port security is an increasing concern given the significant role of ports in global commerce and today’s increasingly complex threat environment. Current approaches to port security mirror traditional models of accident causality – ‘a series of security nets’ based on component reliability and probabilistic assumptions. Traditional port security frameworks result in isolated and inconsistent improvement strategies. Recent work in engineered safety combines the ideas of hierarchy, emergence, control and communication into a new paradigm for understanding port security as an emergent complex system property. The ‘System-Theoretic Accident Model and Process (STAMP)’ is a new model of causality based on systems and control theory. The associated analysis process – System Theoretic Process Analysis (STPA) – identifies specific technical or procedural security requirements designed to work in coordination with (and be traceable to) overall port objectives. This process yields port security design specifications that can mitigate (if not eliminate) port security vulnerabilities related to an emphasis on component reliability, lack of coordination between port security stakeholders or economic pressures endemic in the maritime industry. This article aims to demonstrate how STAMP’s broader view of causality and complexity can better address the dynamic and interactive behaviors of social, organizational and technical components of port security.","The System-Theoretic Accident Model and Process (STAMP) as discussed by the authors is a new model of causality based on systems and control theory for port security, which can better address the dynamic and interactive behaviors of social, organizational and technical components of port security."
"Systemic risk capability assessment methodology: A new approach for evaluating inter-connected risks in seaport ecosystems","https://scispace.com/paper/systemic-risk-capability-assessment-methodology-a-new-1i3uj3eaq0","2024","Journal Article","Progress in disaster science","Arunabh Mitra
Chime Youdon
Pradeep Chauhan
Rajib Shaw","10.1016/j.pdisas.2024.100325","","The ever-increasing systemic risks posed by disasters and the impacts of climate change have emerged as formidable challenges that demand comprehensive assessment and understanding. This study endeavours to address this critical need by introducing the innovative Systemic Risk Capability Assessment (SRCA) methodology. Unlike traditional risk assessment approaches, SRCA is uniquely designed to not only assess systemic risk but also operationalize its management, making it particularly suited for safeguarding critical infrastructure, with a specific focus on seaports. The SRCA methodology, offers a quasi-quantitative framework that goes beyond conventional risk assessment, enabling a deeper understanding of the dynamics and interdependencies inherent to seaport ecosystems. In the pursuit of demonstrating the practicality and versatility of the SRCA methodology, this study applies the model to two hypothetical ports, accompanied by the utilization of synthetic data. By doing so, it elucidates the step-by-step analysis facilitated by SRCA, highlighting its potential for enhancing the resilience of seaports to systemic risks. The results underscore the limitations of traditional risk assessment methodologies when confronted with the complexity of systemic risks in seaports, thereby emphasizing the significance of the proposed SRCA methodology. In conclusion, this research contributes significantly to the field of systemic risk management, particularly within the critical infrastructure domain. ","This study introduces the Systemic Risk Capability Assessment (SRCA) methodology, a quasi-quantitative framework for evaluating and managing interconnected risks in seaport ecosystems, enhancing resilience to systemic risks and climate change impacts."
"Dynamic maritime systems inquiry: The DIVER approach","https://scispace.com/paper/dynamic-maritime-systems-inquiry-the-diver-approach-3uex3anyua","2011","Journal Article","Systems Engineering","Tsan Sheng Ng
Shao Wei Lam","10.1002/SYS.20175","","The approach of thinking about systems as a whole with the explicit consideration of complex interactions between its constituents is the key conceptual framework underlying systems thinking. Such an approach is particularly useful for unraveling the dynamic interactions that confounds present-day maritime systems. In this work, we propose the DIVER systems inquiry framework as a logical and platform to guide the systems thinking process in elucidating the maritime dynamics. We describe the implementation of system dynamics modeling and simulation as a particularly relevant tool within this framework. Its role as a structural modeling and analysis tool for various supply-demand problems is described. Furthermore, as a means to facilitate the systems thinking process in this framework, we propose a set of archetypical system structures that can explain some commonly observed maritime dynamics. Finally, a case study on the evolution of global container ship capacity based on DIVER is presented. © 2010 Wiley Periodicals, Inc. Syst Eng 14: © 2011 Wiley Periodicals, Inc.","This work proposes the DIVER systems inquiry framework as a logical and platform to guide the systems thinking process in elucidating the maritime dynamics, and proposes a set of archetypical system structures that can explain some commonly observed maritime dynamics."
"System of Systems Approach to Maritime Transportation Governance","https://scispace.com/paper/system-of-systems-approach-to-maritime-transportation-4x8z8bwecz","2010","Journal Article","Transportation Research Record","Mo Mansouri
Alex Gorod
Thomas H. Wakeman
Brian Sauser","10.3141/2166-08","","A systems engineering approach is applied to redefine the maritime transportation system through a holistic perspective. The view presented in this paper allows the identification of constituents of the maritime transportation network along with external factors and constraints that affect the network's operation. The maritime network is considered at a system-of-systems level of abstraction, and a maritime transportation system of systems is defined. On the basis of characteristics of the system of systems and network management theory, a model for governing the maritime transportation system of systems is presented that addresses four key questions of effective governance: (a) What can be influenced? (b) Why is the influence needed? (c) How should the influence be exerted? (d) When is the purpose of influencing served? The model presented serves as a systems foundation for a new paradigm of maritime transportation governance.","In this paper, a model for governing the maritime transportation system of systems is presented that addresses four key questions of effective governance: What can be influenced? (b) Why is the influence needed? (c) How should the influence be exerted? (d) When is the purpose of influencing served?"
