"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A Social Justice Legitimacy to Protect Coastal Residents","https://scispace.com/paper/a-social-justice-legitimacy-to-protect-coastal-residents-3owpqy5m60","2023","Journal Article","Journal of Human Rights, Culture and Legal System","Aditia Syaprillah
Yahya Ahmad Zein
Tove H.Malloy","10.53955/jhcls.v3i3.159","","This research aimed to establish the legitimacy of protecting coastal residents from a social justice perspective. This was normative legal research conducted following cases, statutes, facts, and comparisons. The results of this study show how important it is to prioritize social equity for coastal protection. As natural calamities become more frequent, property protection becomes more difficult. Countries endowed with substantial financial and human resources can effectively tackle the challenges associated with climate change mitigation through the development and establishment of state-of-the-art scientific and technological infrastructure. In multicultural social justice, all individuals are valued. Priorities for environmental and social justice are prevalent in developing nations afflicted by coastal ecological degradation and widening income gaps. Developed nations like Germany have implemented and enforced coastal protection policies to uphold environmental justice principles. Second, the community-led governance initiatives generated genuine participation through mutual aid. Environmental law advances the cause of social justice. Environmental justice, which emphasizes the distribution of resources and the preservation of vulnerable groups, has emerged as the essence of justice in the ecological age.","Protecting coastal residents from social justice perspective is essential. Coastal protection policies and community-led governance initiatives promote environmental justice and social equity."
"Mainstreaming Equity and Justice in the Ocean","https://scispace.com/paper/mainstreaming-equity-and-justice-in-the-ocean-17m79isz","2022","Journal Article","Frontiers in Marine Science","Nathan J. Bennett","10.3389/fmars.2022.873572","","Equity and justice considerations have risen to the surface in policy deliberations, management decisions, and program design related to marine conservation, fisheries management, and blue economy development. These topics have been brought to the forefront by academic documentation of social justice and distributional issues across these different marine policy realms (Kittinger et al., 2017; Cohen et al., 2019; Martin et al., 2019; Armstrong, 2020; Bennett et al., 2021a) and coinciding civil society efforts to raise the profile of the social injustices facing small-scale fishers, coastal communities, different genders, and diverse racial and ethnic groups (Isaacs, 2019; Johnson, 2020; Gustavsson et al., 2021). Academic and civil society groups and individuals have coined a number of catch phrases to refer to the relationship between equity, justice, and the oceans including blue justice, marine justice, ocean justice and ocean equity (Martin et al., 2019; Armstrong, 2020; Österblom et al., 2020; Bennett et al., 2021a). Small-scale fisheries organizations, for example, coined the now popular term ‘blue justice’ to refer to the effects of blue growth and industrial fisheries on the rights, resources and livelihoods of small-scale fishers and coastal communities (Cohen et al., 2019; Isaacs, 2019; Bennett et al., 2021a; Jentoft et al., 2022). Scholars also recently proposed ‘marine justice’ as an academic concept, a paradigm, and a movement that merges concerns for the marine environment and environmental justice (Widener, 2018; Martin et al., 2019). The idea of ‘ocean equity’ emerged in a 2020 report of the High Level Panel on the Sustainable Ocean Economy titled ‘Towards Ocean Equity’ that highlighted the need for the burgeoning ocean economy to be inclusive and account for equity in the distribution of benefits (Bennett et al., 2019b; Österblom et al., 2020). Marine biologist and conservationist Ayana Elizabeth Johnson uses the phrase ‘ocean justice’ to underscore the importance of paying attention to climate justice and racial justice issues in ocean conservation (Johnson, 2020). While somewhat different in their history and formulation, the proponents behind each of these catch phrases share a common concern for the need to urgently address emergent equity and justice issues in ocean governance and management. This growing interest in equity and justice in the oceans is positive progress from just a few years ago when these topics were still peripheral in ocean policy deliberations and insufficiently considered in programs and funding focused on oceans and sustainability (Bennett, 2018). Globally, many ocean-focused conservation and development government agencies, non-governmental organizations, and funders have become quite interested in how to embed and operationalize equity and justice in their work (Österblom et al.,","In this article , Österblom et al. highlighted the need for the burgeoning ocean economy to be inclusive and account for equity in the distribution of benefits in ocean governance and management."
"Problematika ketidakadilan lingkungan dalam pengelolaan wilayah pesisir di indonesia","https://scispace.com/paper/problematika-ketidakadilan-lingkungan-dalam-pengelolaan-24734m82y8","2023","Journal Article","Jurnal Mimbar Hukum","Muhamad Agil Aufa Afinnas","10.22146/mh.v35i1.6005","","Abstract Environmental injustice often occurs in coastal area utilization activities due to the neglect of social and environmental interests for economic interests. In this research, the problem of environmental injustice in coastal area management will be analyzed using the Taxonomy of Environmental Justice framework. Furthermore, reflection will be carried out using the Job Creation Perpu concerning environmental injustice in coastal areas. This research uses doctrinal legal research method. This research will indicate environmental injustice in the form of distributive, corrective, procedural, and social injustice. Distributive injustice is related to the unequal distribution of risks and benefits of coastal area management activities. Corrective injustice occurs because environmental law enforcement is still weak and the legal norms are also nonideal for justice awakening. Procedural injustice is related to the obstacles in accessing the right to information, the right to participation, and the right to justice. There are also social injustice related to the welfare problems of coastal communities. However, The Job Creation Perpu is considered unable to overcome the problem of environmental injustice that occurs in coastal area management so far. Abstrak Permasalahan ketidakadilan lingkungan masih sering terjadi di tengah aktivitas pemanfaatan wilayah pesisir. Ketidakadilan lingkungan dapat muncul akibat diabaikannya kepentingan sosial dan lingkungan hidup demi kepentingan ekonomi. Dalam penelitian ini, problematika ketidakadilan lingkungan dalam konteks pengelolaan wilayah pesisir akan dikaji menggunakan kerangka Taksonomi Keadilan Lingkungan. Selanjutnya, akan dilakukan refleksi terhadap Perpu Cipta Kerja dalam kaitannya dengan ketidakadilan lingkungan di wilayah pesisir. Metode penelitian yang digunakan adalah penelitian hukum doktrinal.Hasil dari penelitian ini menunjukkan bahwa ketidakadilan lingkungan, yang berupa ketidakadilan distributif, prosedural, korektif, dan sosial masih terjadi. Ketidakadilan distributif masih terjadi berkaitan dengan distribusi risiko atau dampak dan manfaat dari aktivitas pengelolaan wilayah pesisir yang timpang. Ketidakadilan prosedural yang terjadi berkaitan dengan adanya hambatan pemenuhan hak atas informasi hak akses partisipasi, dan akses keadilan. Ketidakadilan korektif terjadi akibat masih lemahnya penegakan hukum lingkungan dan norma yang ada juga belum ideal untuk mewujudkan keadilan. Yang terakhir, ketidakadilan sosial terjadi berkaitan dengan permasalahan kesejahteraan masyarakat pesisir. Akan tetapi, Perpu Cipta Kerja dinilai belum dapat mengatasi ketidakadilan lingkungan dalam pengelolaan wilayah pesisir. ","Ketidakadilan lingkungan dalam pengelolaan wilayah pesisir di Indonesia masih terjadi dan terkait dengan ketidakadilan distributif, prosedural, korektif, dan sosial."
"Social Justice in Coastal Spaces","https://scispace.com/paper/social-justice-in-coastal-spaces-37fi53ua","2023","Book Chapter","","","10.4324/9781003058151-15","","The impacts of ecological change in coastal spaces, and the costs and benefits of different forms of human intervention on the coast, are not equally distributed among the human population. Instead, who benefits and suffers from what takes place on the coast is, to a great extent, a reflection of routine social relations that are hierarchical and complex. For this reason, questions of social inequality and social justice are integral and pertinent to the study of the human dimensions of marine environments and coastal areas. In this chapter, we introduce a conceptual and analytical toolkit to identify research concerns and formulate research questions related to “social relations of power in coastal spaces”, and to allow students to envision the value of research collaborations between marine scientists, social scientists, and scholars in the humanities. Anchored in anti-racist feminist perspectives, we outline an approach to marine studies that pays attention to the interdependencies between humans and oceans/coasts, while pushing for consideration of social justice concerns within the context of social impacts. ","In this article , the authors introduce a conceptual and analytical toolkit to identify research concerns and formulate research questions related to social relations of power in coastal spaces, and to allow students to envision the value of research collaborations between marine scientists, social scientists, and scholars in the humanities."
"Reorientasi Pembangunan Pesisir melalui Keadilan Biru: Studi Kasus Komunitas Nelayan di Kenjeran, Surabaya","https://scispace.com/paper/reorientasi-pembangunan-pesisir-melalui-keadilan-biru-studi-xhx70ugu4v9a","2025","Journal Article","JSPH (Jurnal Sosiologi Pendidikan Humanis)","Wardatul Adawiah
Khalid Syaifullah
Nur'aini Inayah","10.17977/um021v10i12025p113-132","","The blue economy approach is increasingly being defined and developed as a sustainable development strategy for coastal areas, helping structural adaptation that integrates ecological sustainability. However, without considering the dimension of social justice, the implementation of the blue economy has the potential to perpetuate long-standing inequalities in coastal areas. The blue justice approach emerges as a normative correction emphasising the importance of fair distribution of benefits, recognition of coastal communities' rights and local knowledge, and meaningful participation in decision-making. This study was conducted among the Fishing Community in the Kenjeran Coastal Area, Surabaya, using a qualitative approach with in-depth interviews and observations. This study found that the fishing community in Kenjeran is now facing serious challenges in terms of socio-ecological justice. Inequality in access to marine space, marginalisation of local knowledge, and low community involvement in the planning process reinforce the vulnerability of coastal communities to climate change and large-scale coastal development. The implementation of a blue economy focused exclusively on growth risks exacerbating the structural injustices that have long burdened vulnerable groups such as small-scale fishermen and coastal women. Therefore, integrating a blue justice approach is urgent to ensure that coastal development is not only ecologically sustainable but also socially just, institutionally participatory, and culturally contextual.","This study in Kenjeran, Surabaya, highlights the need for a blue justice approach to address socio-ecological injustices faced by coastal communities, emphasizing fair distribution of benefits, recognition of local knowledge, and meaningful participation in decision-making."
"Putting coastal communities at the center of a sustainable blue economy: A review of risks, opportunities, and strategies","https://scispace.com/paper/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db","2023","Journal Article","Frontiers in political science","Louisa Evans
P.M. Buchan
Matt Fortnam
M B Honig
Louise Heaps","10.3389/fpos.2022.1032204","https://scispace.com/pdf/putting-coastal-communities-at-the-center-of-a-sustainable-2995t4db.pdf","New approaches to ocean governance for coastal communities are needed. With few exceptions, the status quo does not meet the diverse development aspirations of coastal communities or ensure healthy oceans for current and future generations. The blue economy is expected to grow to USD2.5–3 trillion by 2030, and there is particular interest in its potential to alleviate poverty in Least Developed Countries and Small Island Developing States, and to support a blue recovery from the COVID-19 pandemic. This paper presents a selective, thematic review of the blue economy literature to examine: (i) the opportunities and risks for coastal communities, (ii) the barriers and enablers that shape community engagement, and (iii) the strategies employed by communities and supporting organizations, which can be strengthened to deliver a ‘sustainable' blue economy and improve social justice for coastal communities. Our review finds that under business-as-usual and blue growth, industrial fisheries, large-scale aquaculture, land reclamation, mining, and oil and gas raise red flags for communities and marine ecosystems. Whereas, if managed sustainably, small-scale fisheries, coastal aquaculture, seaweed farming and eco-tourism are the most likely to deliver benefits to communities. Yet, these are also the sectors most vulnerable to negative and cumulative impacts from other sectors. Based on our evaluation of enablers, barriers and strategies, the paper argues that putting coastal communities at the center of a clear vision for an inclusive Sustainable Blue Economy and co-developing a shared and accessible language for communities, practitioners and policy-makers is essential for a more equitable ocean economy, alongside mainstreaming social justice principles and integrated governance that can bridge different scales of action and opportunity.","In this paper , the authors present a selective, thematic review of the blue economy literature to examine: (i) the opportunities and risks for coastal communities, (ii) the barriers and enablers that shape community engagement, and (iii) the strategies employed by communities and supporting organizations."
"Participation and representation in governing multiple-use marine ecosystems","https://scispace.com/paper/participation-and-representation-in-governing-multiple-use-4pd7vclo0g","2018","Journal Article","Australian journal of maritime and ocean affairs","Maree Fudge","10.1080/18366503.2018.1536314","","Stakeholder participation has become central to marine governance, a trend that is consistent with resource governance more broadly. Imperatives for increasing participation in marine governance reflect complex sociological trends, including population-driven change in coastal areas, increasing marine industry; climate-mediated changes in productivity; and decreasing trust in governing institutions. Despite this, marine governance research points to a paradox – efforts to increase participatory governance are leading towards decreasing legitimacy and low levels of trust in the governance system. This paper examines stakeholder perceptions of representation in the context of efforts to achieve effective participatory governance of a multiple-use marine commons: the D’Entrecasteaux-Huon Channel region in Tasmania, Australia. Political representation was found to be an essential component of stakeholders’ assessment of the legitimacy of the governance of multiple-use marine systems. At the same time, representation was found to be a contradictory component that could not necessarily be settled by ideal type institutional rules for participation in governance. This paper suggests that rethinking how representation can be managed institutionally within the network context is warranted. It contributes to marine governance research by directly facing the complexity of representation in participatory initiatives, and signals a potential avenue for examining the challenges of participatory governance of shared marine systems.","In this article, the authors examined stakeholder perceptions of representation in the context of efforts to achieve effective participatory governance of a multiple-use marine commons: the D'Entrecasteaux-Huon Channel region in Tasmania, Australia."
"Co-creating a just and inclusive blue economy: an analysis of ocean justice in academic literature, policy and legislation.","https://scispace.com/paper/co-creating-a-just-and-inclusive-blue-economy-an-analysis-of-bf5azmusq2ho","2025","Journal Article","","Celine Germond‐Duret
Senia Febrica","10.5194/oos2025-348","","The blue economy concept that gained popularity after the 2012 UN Conference on Sustainable Development (Rio+20) has since been advocated by public and private actors as well as environmental non-governmental organisations. Defined as “the sustainable pursuit of economic activities resulting from the exploitation of coastal and marine resources” (Germond-Duret and Germond, 2022) the blue economy concept has raised both hope and concerns: hope that environmental protection will be at the heart of (economic) activities at sea; and concerns that it will facilitate further unsustainable exploitation of coastal and marine resources. It can be seen as being part of a wider “blue acceleration” process, “a race among diverse and often competing interests for ocean food, material, and space” (Jouffray et al., 2020).The academic literature as well as policy and legal documents on the blue economy, almost non-existent a few years ago, is now burgeoning. However, it remains an ambiguous and contested concept, and further work is needed to address the place of environmental protection within the blue economy, the role of communities in this process, and the potential human and social costs of additional economic activities at sea. As research on the blue economy expands and as stakeholders further exploit coastal and marine resources, it is critical to deepen our understanding of how the blue economy can be just and fair.Deploying corpus linguistic analysis this paper will examine the existing academic literature as well as policy and legal documents on the blue economy published by governments, civil society, regional and international organisations to investigate:(1) to what extent traditionally overlooked stakeholders, such as coastal communities, are represented in the academic literature, policy and legal documents related to blue economy?(2) are the economic, social and cultural justice implications of blue economy activities addressed?(3) what checks and balances mechanisms are put in place to support inclusive participation of Indigenous Peoples, local communities, small-scale fishers, women, children and young people at the heart of the process?UN databases such as the Food and Agriculture Organization of the UN’s SSF-LEX, the UN Division for Ocean Affairs and the Law of the Sea’s Maritime Zones and Maritime Delimitation database, and the International Seabed Authority’s national legislation database will be used to collate various governments’ documents related to the blue economy.The findings from the paper will identify trade-offs and inequities that surface as blue economies rapidly develop and provide pathways to integrate transdisciplinary action research approaches, processes, and innovation that are needed to unlock the potential of science to develop sustainable blue economies (Heidkamp et al., 2021). Transdisciplinary research implies working with ocean experts from varied disciplines, different knowledge holders and stakeholders in the co-design of solutions (Febrica, 2021). ","This study examines the representation of traditionally overlooked stakeholders in blue economy literature, policy, and legislation, and identifies trade-offs and inequities in blue economy development, aiming to co-create a just and inclusive blue economy through transdisciplinary action research."
"Maritime Justice: A Commentary","https://scispace.com/paper/maritime-justice-a-commentary-czx62hv6yb62","","","","Jennifer A. Martin","10.17645/oas.9500","","This commentary summarizes the contributions to the thematic issue on maritime justice and aims to extend this ongoing research agenda. Maritime justice has as much to offer scholars and practitioners who work in the field of marine justice and environmental justice broadly as it does to those who work in maritime security studies and its cognate fields. Although there are many potential synergies to explore, two thematic domains offer particularly rich starting points: justice for whom and enforcement.","This commentary extends the maritime justice research agenda, highlighting synergies with marine justice, environmental justice, and maritime security studies, and identifies two key domains: justice for whom and enforcement, for scholars and practitioners."
"Bringing a justice lens to ocean access","https://scispace.com/paper/bringing-a-justice-lens-to-ocean-access-2unhh7p4z4j4","2024","Journal Article","Maritime studies","Jonas Hein
Silja Klepp
Anna Lena Bercht","10.1007/s40152-024-00387-9","","Abstract Maritime spaces have transformed rapidly the last decades. Open waters and beaches have become restricted and sometimes privatized enclosures. Different forms of extractivism have led to biodiversity loss and in particular to declining fish populations. Additionally, large-scale coastal and marine infrastructure projects, such as deepening and widening of shipping channels, have destroyed important habitats. These profound socio-ecological transformations have had an impact on geographies of resource access and control and consequently on the ability of actors to access, use and benefit from coastal and marine space. Moreover, changes in the lending policies of local banks have posed additional and severe challenges for fishers’ ability to fish. Such processes effect in particular the livelihoods of coastal and small-scale fisher communities and consequently increase existing inequalities and injustices. We suggest to bring the literature on ocean justice and access and property into dialogue and develop a heuristic for analysing inequalities and justice claims. Based on qualitative case studies focussing on the Sicily (Italy), the Elbe estuary (Germany) and the Lofoten (Norway), we show that investigating access relations facilitates the identification of unequal societal relationships with nature. Our cases illustrate that power relations in which privatization processes and access relations are embedded, determine whether injustices can be translated into justice claims and how successful these claims are. Moreover, unequal socio-ecological relations are also influenced by what we call translocal justice. Translocal justice is often lost in processes of commodification, privatization and in the rescaling of political authority and power, as local ties and confidential relationships vanish. ","This study examines ocean access and justice through a qualitative analysis of case studies in Sicily, Elbe estuary, and Lofoten, highlighting how power relations and privatization processes shape unequal access to coastal and marine space, exacerbating existing inequalities and injustices."
