Boat Builder

Property	Value
Occupation	Boat Builder
Description of the occupation	The occupation of a BOAT BUILDER is to design, plan and construct recreational boats and large yachts from a variety of materials. This occupation can be found anywhere in Europe, but often close to the coast or on rivers. Working as a BOAT BUILDER mostly requires an apprenticeship, but can be also trained on the job.
Task #1	Designing, planing and constructing boats.
Task #2	Repair and maintenance of boats
Task #3	Customer service and advice.
Necessary educational level needed for the occupation	
Mandatory minimum school education	Required
Working environment	
Permanent	Required
Location of occupation	
Workshop	Required
Outdoors	Required
Working hours	Both possible
Working schedule	Work during day time hours
Workplace environment	
Exposure to hazardous material	Required
Physical requirements	
Physical effort/lifting	Required
Soft skills rating	
Teamwork	4
Adaptability	4
Problem solving	4
Following procedures	3
Multitasking	2
Work under pressure	3
Communication	4
Leadership	5
Attention to detail	4
Time management	4
Customer service	4
Initiative	4
