Boatyard manager

Property	Value
Occupation	Boatyard manager
Description of the occupation	The occupation of a BOATYARD MANAGER is to organise a boatyard where boats can be stored. This occupation can be found mostly in marinas or ports, but also as winterstorage further inland from the coast or a river. Working as a BOATYARD MANAGER requires no formal qualification, but good organisational skills and knowledge of boats and engines are of advantage.
Task #1	Organising how the boatyard will be used, where boats are stored and liasing with the boat lift to take boats out of the water or put them back in.
Task #2	Managing staff to clean the boathulls, apply antifouling, and conduct mainenance and repair work.
Task #3	Connecting to the customers/ boat owners to coordinate their wishes, make quotes and control payments and finances.
Necessary educational level needed for the occupation	
Mandatory minimum school education	Required
Working environment	
Permanent	Required
Seasonal	Required
Location of occupation	
Office	Required
Workshop	Required
Outdoors	Required
Onshore	Required
Working hours	Fixed
Working schedule	Work during day time hours
Workplace environment	
Physical requirements	
Soft skills rating	
Teamwork	5
Adaptability	5
Problem solving	5
Following procedures	4
Multitasking	4
Work under pressure	4
Communication	5
Leadership	5
Attention to detail	5
Time management	5
Customer service	5
Initiative	4
