evidence_id,canonical_doi,canonical_title,normalized_title_hash,first_seen_run_id,latest_seen_run_id,first_seen_at_utc,latest_seen_at_utc,providers_seen,provider_count,query_ids_seen,query_families_seen,sector_candidates,axis_candidates,year,journal,citation_count,record_novelty_status,record_recurrence_count,jaccard_group_id,validity_warning
evidence:doi:10.1002/2688-8319.70039/v1/review1,10.1002/2688-8319.70039/v1/review1,"Review for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",ced529891016f1d2,28625632237-1,28967267944.2,2026-07-02T22:31:08.897132+00:00,2026-07-02T22:31:08.897132+00:00,crossref,1,Q_RENEWABLE_ENERGY_CORE_001,core_sector,renewable_energy,T,2024,,0,repeated_record,2,evidence:doi:10.1002/2688-8319.70039/v1/review1,
evidence:doi:10.1002/2688-8319.70039/v2/decision1,10.1002/2688-8319.70039/v2/decision1,"Decision letter for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",3153034e863bd04f,30090903921-1,30090903921-1,2026-07-24T11:51:23.757385+00:00,2026-07-24T11:51:23.757385+00:00,crossref,1,Q_RENEWABLE_ENERGY_CORE_001,core_sector,renewable_energy,T,2025,,0,duplicate_only,1,evidence:doi:10.1002/2688-8319.70039/v1/review1,jaccard_nonroot
evidence:doi:10.1002/2688-8319.70039/v2/review1,10.1002/2688-8319.70039/v2/review1,"Review for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",ced529891016f1d2,30090903921-1,30090903921-1,2026-07-24T11:51:23.757333+00:00,2026-07-24T11:51:23.757333+00:00,crossref,1,Q_RENEWABLE_ENERGY_CORE_001,core_sector,renewable_energy,T,2025,,0,duplicate_only,1,evidence:doi:10.1002/2688-8319.70039/v1/review1,jaccard_nonroot
evidence:doi:10.1002/2688-8319.70039/v3/decision1,10.1002/2688-8319.70039/v3/decision1,"Decision letter for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",3153034e863bd04f,28625632237-1,28967267944.2,2026-07-02T22:31:08.897202+00:00,2026-07-02T22:31:08.897202+00:00,crossref,1,Q_RENEWABLE_ENERGY_CORE_001,core_sector,renewable_energy,T,2025,,0,duplicate_only,2,evidence:doi:10.1002/2688-8319.70039/v1/review1,jaccard_nonroot
evidence:doi:10.1002/9780470693919.ch14,10.1002/9780470693919.ch14,"Marine Protected Areas, Fish and Fisheries",f1ff1999fc215c0f,28625632237-1,28967267944.2,2026-07-02T22:30:54.263367+00:00,2026-07-02T22:30:54.263367+00:00,crossref,1,Q_LIVING_RES_CORE_002,core_sector,living_res,M,2008,"Handbook of Fish Biology and Fisheries, Volume 2",0,repeated_record,2,evidence:doi:10.1002/9780470693919.ch14,
evidence:doi:10.1002/9780470697597.ch5,10.1002/9780470697597.ch5,Marine Recreational Fisheries Management Challenges and Marine Protected Areas: Comparison Between the Mediterranean and Australia,002df9e7336e7229,28625632237-1,28967267944.2,2026-07-02T22:30:54.263363+00:00,2026-07-02T22:30:54.263363+00:00,crossref,1,Q_LIVING_RES_CORE_002,core_sector,living_res,M,2008,Global Challenges in Recreational Fisheries,0,repeated_record,2,evidence:doi:10.1002/9780470697597.ch5,
evidence:doi:10.1002/9781118371220.ch1,10.1002/9781118371220.ch1,Elements of Sustainability and Bioremediation,153fdcb1b6f5ec7a,28625632237-1,28967267944.2,2026-07-02T22:30:20.391704+00:00,2026-07-02T22:30:20.391704+00:00,crossref,1,Q_BLUE_BIOTECH_CORE_003,core_sector,blue_biotech,M,2012,Bioremediation and Sustainability,0,repeated_record,2,evidence:doi:10.1002/9781118371220.ch1,
evidence:doi:10.1002/9781118476406.emoe200,10.1002/9781118476406.emoe200,Port Logistics and Hinterland Development,c9a12df6bad8f0b9,28625632237-1,28967267944.2,2026-07-02T22:31:32.745441+00:00,2026-07-02T22:31:32.745441+00:00,crossref,1,Q_PORT_ACTIVITIES_CORE_001,core_sector,port_activities,T,2018,Encyclopedia of Maritime and Offshore Engineering,0,repeated_record,2,evidence:doi:10.1002/9781118476406.emoe200,
evidence:doi:10.1002/9781119014492.ch11,10.1002/9781119014492.ch11,The Economics of Wave and Tidal Energy,fda21fecc917c8d9,28625632237-1,28967267944.2,2026-07-02T22:31:14.816989+00:00,2026-07-02T22:31:14.816989+00:00,crossref,1,Q_RENEWABLE_ENERGY_CORE_003,core_sector,renewable_energy,T,2018,Wave and Tidal Energy,0,repeated_record,2,evidence:doi:10.1002/9781119014492.ch11,
evidence:doi:10.1002/9781119014492.ch3,10.1002/9781119014492.ch3,Wave Energy Technology,ecdd2f17ed2a6d28,28625632237-1,28967267944.2,2026-07-02T22:31:14.817011+00:00,2026-07-02T22:31:14.817011+00:00,crossref,1,Q_RENEWABLE_ENERGY_CORE_003,core_sector,renewable_energy,T,2018,Wave and Tidal Energy,0,repeated_record,2,evidence:doi:10.1002/9781119014492.ch3,
