fragment_id,hypothesis_id,hypothesis_label,hypothesis_ids,signal_id,evidence_id,run_id,sector,axis_group,axis_code,signal_type,demand_phrase,matched_hypothesis_phrase,theory_term_family,indicator_family,semantic_fragment,evidence_surface,semantic_scope,evidence_text_hash,classifier_version,manual_review_status,validity_warning
fragment:signal:002340942f8d383bb5f0a6e266ff6b95a264b3fa7db856ffa6e46dce36838521:H3:c2846e4b19d7,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:002340942f8d383bb5f0a6e266ff6b95a264b3fa7db856ffa6e46dce36838521,evidence:doi:10.3389/focsu.2025.1697910,30178365958-1,living_res,MARINE,M,sustainability_skill,sustainability,marine,,marine_ecological,sustainability,title+subject,title+subject,9a8aa9004c61117ba4a07b40007d580a1e82b91509e53cd345734087388ef0fb,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:0078141714bdf26c7f18fb1fe4e6c408b4b4b307bcd335b72da79fd6eccb69a1:H1:1db3dfafa32d,H1,Maritimisation Shift,H1,signal:0078141714bdf26c7f18fb1fe4e6c408b4b4b307bcd335b72da79fd6eccb69a1,evidence:doi:10.3390/su18042071,30178365958-1,coastal_tourism,OCEANIC,O,governance_skill,governance,oceanic,,oceanic_governance,governance,title+subject,title+subject,109214bced9a4186f265a0c34ca47801e357082a5825b296a33de5e8d8740163,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0078141714bdf26c7f18fb1fe4e6c408b4b4b307bcd335b72da79fd6eccb69a1:H3:dfa5b48633fa,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0078141714bdf26c7f18fb1fe4e6c408b4b4b307bcd335b72da79fd6eccb69a1,evidence:doi:10.3390/su18042071,30178365958-1,coastal_tourism,OCEANIC,O,governance_skill,governance,oceanic,,oceanic_planetary,governance,title+subject,title+subject,109214bced9a4186f265a0c34ca47801e357082a5825b296a33de5e8d8740163,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:00cfcd875103085ac4a1d41a9e765901f1be603f8e0559667fa48e45bc3a37a9:H3:45ce889a1318,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:00cfcd875103085ac4a1d41a9e765901f1be603f8e0559667fa48e45bc3a37a9,evidence:doi:10.3390/jmse13122322,30178365958-1,living_res,MARINE,M,technical_skill,technology,marine,,marine_ecological,technology,title+subject,title+subject,347908220f5565f975612c25269b2f39e047c556ee281b49a08ee49735f4ea8e,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:00d150d6c09bd9f1f4044d991238861ffd8ebb48ddf768fd31030bd69ac1c40b:H3:f39d24e03d41,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:00d150d6c09bd9f1f4044d991238861ffd8ebb48ddf768fd31030bd69ac1c40b,evidence:doi:10.70088/x9yymd52,30178365958-1,living_res,MARINE,M,social_science_skill,community,marine,,marine_ecological,community,title+subject,title+subject,57e7d63585fca50990c835afef2c72c8cd6423829e2b98929e5d9839c704ae48,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0114ee0a1834dc2253b56f893073a8fb476829b388abf99ec753f77f0e89871c:H1:3a5ad8143dbe,H1,Maritimisation Shift,H1,signal:0114ee0a1834dc2253b56f893073a8fb476829b388abf99ec753f77f0e89871c,evidence:doi:10.33545/26649845.2026.v8.i7a.750,30178365958-1,coastal_tourism,OCEANIC,O,governance_skill,governance,ocean governance,,oceanic_governance,governance,title+subject,title+subject,69a47cd6f27f2e4bdaf129414176781f8ab3f8df758474c292b630050e9243c4,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:0114ee0a1834dc2253b56f893073a8fb476829b388abf99ec753f77f0e89871c:H3:f626c61d9ef4,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0114ee0a1834dc2253b56f893073a8fb476829b388abf99ec753f77f0e89871c,evidence:doi:10.33545/26649845.2026.v8.i7a.750,30178365958-1,coastal_tourism,OCEANIC,O,governance_skill,governance,marine,,marine_ecological,governance,title+subject,title+subject,69a47cd6f27f2e4bdaf129414176781f8ab3f8df758474c292b630050e9243c4,cumulative-db-semantic-v1,auto_accepted,metadata_only_limitation
fragment:signal:011606ff3aa0834729f803ca4ea70d9f3e26e467cc5503aa76b4c3fe5acae3fe:H3:07b43d1c156c,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:011606ff3aa0834729f803ca4ea70d9f3e26e467cc5503aa76b4c3fe5acae3fe,evidence:doi:10.1007/s00267-026-02553-7,30178365958-1,living_res,MARINE,M,governance_skill,governance,ecological,,marine_ecological,governance,title+subject,title+subject,10982d772df5cc9056516fdaa3aa0c241c71d14daae41723a884b77c588e23f8,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:0129f88e84909cf5090bd459529b8c15ec635fc396b59c5f651c014446487cc9:H3:cda4b8f4f047,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:0129f88e84909cf5090bd459529b8c15ec635fc396b59c5f651c014446487cc9,evidence:doi:10.35800/jip.v14i2.68304,30178365958-1,living_res,MARINE,M,policy_regulation_skill,legal,marine,,marine_ecological,legal,title+subject,title+subject,9a4fa7aac63b3e57ed8d1a44a985053ada2b522ca9b1d3971e8bebe0ad324bf3,cumulative-db-semantic-v1,review_required,metadata_only_limitation
fragment:signal:012c1dd63fa7f8c5736476c26b9907cac4e97e2819d1b2ffb07834c15af61af6:H3:62446d3417fb,H3,MARINE vs OCEANIC Differential Coverage,H3,signal:012c1dd63fa7f8c5736476c26b9907cac4e97e2819d1b2ffb07834c15af61af6,evidence:doi:10.22363/2312-8143-2026-27-1-122-130,30178365958-1,renewable_energy,OCEANIC,O,technical_skill,technology,marine,,marine_ecological,technology,title,title,65be9ca0039fa59435d4f5ae69f26084a8a730e9334e224baff08361d0774652,cumulative-db-semantic-v1,review_required,metadata_only_limitation
