Sector,Required,Available,Missing,Gap_pct,Missing_MARINE,Missing_MARITIME,Missing_OCEANIC,Missing_HYDRONIZATION,Generated_at,Analysis_mode,Run_id,Schema_version
Blue Biotech,611,15,596,97.5,45,57,478,16,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Coastal Tourism,546,15,531,97.3,19,73,422,17,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Desalination,539,15,524,97.2,8,61,424,31,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Infra & Robotics,567,15,552,97.4,5,91,415,41,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Living Res.,631,15,616,97.6,62,63,476,15,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Non-living Res.,566,15,551,97.3,27,54,455,15,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Renewable Energy,572,15,557,97.4,34,56,450,17,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Maritime Defence,539,15,524,97.2,5,124,380,15,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Maritime Transport,647,15,632,97.7,5,203,409,15,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Port Activities,660,15,645,97.7,9,253,364,19,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
R&I,676,15,661,97.8,40,65,541,15,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
Ship Repair,523,15,508,97.1,6,82,403,17,2026-08-09T16:01:40+00:00,live-enriched,31322599774-1,2
