axis_group,axis_code,evidence_surface,feature,evidence_with_feature,axis_evidence_total,feature_share,status
MARINE,M,title,demand_articulation,31,197,0.157360406091,screening_not_validated_performativity
MARINE,M,title,learning_credential_translation,60,197,0.304568527919,screening_not_validated_performativity
MARINE,M,title,technical_operational_capability,92,197,0.467005076142,screening_not_validated_performativity
MARINE,M,title,institutional_governance,93,197,0.472081218274,screening_not_validated_performativity
MARINE,M,title,reflexive_cultural_capability,3,197,0.0152284263959,screening_not_validated_performativity
MARITIME,T,title,demand_articulation,24,402,0.0597014925373,screening_not_validated_performativity
MARITIME,T,title,learning_credential_translation,63,402,0.15671641791,screening_not_validated_performativity
MARITIME,T,title,technical_operational_capability,250,402,0.621890547264,screening_not_validated_performativity
MARITIME,T,title,institutional_governance,157,402,0.390547263682,screening_not_validated_performativity
MARITIME,T,title,reflexive_cultural_capability,1,402,0.00248756218905,screening_not_validated_performativity
OCEANIC,O,title,demand_articulation,40,295,0.135593220339,screening_not_validated_performativity
OCEANIC,O,title,learning_credential_translation,64,295,0.216949152542,screening_not_validated_performativity
OCEANIC,O,title,technical_operational_capability,66,295,0.223728813559,screening_not_validated_performativity
OCEANIC,O,title,institutional_governance,175,295,0.593220338983,screening_not_validated_performativity
OCEANIC,O,title,reflexive_cultural_capability,23,295,0.0779661016949,screening_not_validated_performativity
HYDRONIZATION,H,title,demand_articulation,2,84,0.0238095238095,screening_not_validated_performativity
HYDRONIZATION,H,title,learning_credential_translation,15,84,0.178571428571,screening_not_validated_performativity
HYDRONIZATION,H,title,technical_operational_capability,41,84,0.488095238095,screening_not_validated_performativity
HYDRONIZATION,H,title,institutional_governance,44,84,0.52380952381,screening_not_validated_performativity
HYDRONIZATION,H,title,reflexive_cultural_capability,1,84,0.0119047619048,screening_not_validated_performativity
