sector,axis_group,observed_evidence_count
blue_biotech,MARINE,116
blue_biotech,MARITIME,0
blue_biotech,OCEANIC,20
blue_biotech,HYDRONIZATION,0
coastal_tourism,MARINE,0
coastal_tourism,MARITIME,0
coastal_tourism,OCEANIC,114
coastal_tourism,HYDRONIZATION,0
desalination,MARINE,0
desalination,MARITIME,0
desalination,OCEANIC,2
desalination,HYDRONIZATION,84
infra_robotics,MARINE,0
infra_robotics,MARITIME,105
infra_robotics,OCEANIC,3
infra_robotics,HYDRONIZATION,0
living_res,MARINE,57
living_res,MARITIME,0
living_res,OCEANIC,3
living_res,HYDRONIZATION,0
non_living_res,MARINE,24
non_living_res,MARITIME,0
non_living_res,OCEANIC,13
non_living_res,HYDRONIZATION,0
renewable_energy,MARINE,0
renewable_energy,MARITIME,79
renewable_energy,OCEANIC,17
renewable_energy,HYDRONIZATION,0
maritime_defence,MARINE,0
maritime_defence,MARITIME,45
maritime_defence,OCEANIC,13
maritime_defence,HYDRONIZATION,0
maritime_transport,MARINE,0
maritime_transport,MARITIME,81
maritime_transport,OCEANIC,17
maritime_transport,HYDRONIZATION,0
port_activities,MARINE,0
port_activities,MARITIME,82
port_activities,OCEANIC,9
port_activities,HYDRONIZATION,0
r_i,MARINE,0
r_i,MARITIME,0
r_i,OCEANIC,74
r_i,HYDRONIZATION,0
ship_repair,MARINE,0
ship_repair,MARITIME,10
ship_repair,OCEANIC,10
ship_repair,HYDRONIZATION,0
