sector,sector_label,axis_group,axis_code,observed_evidence_count,expected_evidence_count,adjusted_standardized_residual,raw_cell_p,holm_p,bh_p,holm_significant_0_05,bh_significant_0_05,cell_status
blue_biotech,Blue Biotech,MARINE,M,116,27.3946830266,20.4166242371,1.19009163845e-92,5.59343070073e-91,2.85621993229e-91,True,True,observed_linked_evidence
blue_biotech,Blue Biotech,MARITIME,T,0,55.9018404908,-10.49988689,8.64836919777e-26,3.63231506306e-24,5.93031030704e-25,True,True,empty_current_linked_corpus
blue_biotech,Blue Biotech,OCEANIC,O,20,41.0224948875,-4.23297475067,2.30620405455e-05,0.000461240810911,3.81716533167e-05,True,True,observed_linked_evidence
blue_biotech,Blue Biotech,HYDRONIZATION,H,0,11.6809815951,-3.85259821838,0.000116871073331,0.00210367931996,0.000180961661932,True,True,empty_current_linked_corpus
coastal_tourism,Coastal Tourism,MARINE,M,0,22.963190184,-5.70522239064,1.16191284369e-08,3.48573853107e-07,2.93535876301e-08,True,True,empty_current_linked_corpus
coastal_tourism,Coastal Tourism,MARITIME,T,0,46.8588957055,-9.49001211069,2.31007427139e-21,9.24029708556e-20,1.23203961141e-20,True,True,empty_current_linked_corpus
coastal_tourism,Coastal Tourism,OCEANIC,O,114,34.3865030675,17.2847986837,6.12347728482e-67,2.81679955102e-65,9.79756365571e-66,True,True,observed_linked_evidence
coastal_tourism,Coastal Tourism,HYDRONIZATION,H,0,9.79141104294,-3.48205691481,0.000497577923104,0.00845882469278,0.000746366884657,True,True,empty_current_linked_corpus
desalination,Desalination,MARINE,M,0,17.3231083845,-4.87689967907,1.07766207989e-06,2.58638899174e-05,2.06911119339e-06,True,True,empty_current_linked_corpus
desalination,Desalination,MARITIME,T,0,35.3496932515,-8.11218807052,4.97162718863e-16,1.83950205979e-14,1.98865087545e-15,True,True,empty_current_linked_corpus
desalination,Desalination,OCEANIC,O,2,25.9406952965,-5.8896844695,3.8693367809e-09,1.23818776989e-07,1.09251862049e-08,True,True,observed_linked_evidence
desalination,Desalination,HYDRONIZATION,H,84,7.38650306748,30.8726217924,2.78483520582e-209,1.3367208988e-207,1.3367208988e-207,True,True,observed_linked_evidence
infra_robotics,Infra & Robotics,MARINE,M,0,21.754601227,-5.53387410758,3.13233837615e-08,9.08378129083e-07,7.51761210276e-08,True,True,empty_current_linked_corpus
infra_robotics,Infra & Robotics,MARITIME,T,105,44.3926380368,12.5671816022,3.19926782022e-36,1.3756851627e-34,2.55941425618e-35,True,True,observed_linked_evidence
infra_robotics,Infra & Robotics,OCEANIC,O,3,32.5766871166,-6.57453354164,4.88059274902e-11,1.61059560718e-09,1.4641778247e-10,True,True,observed_linked_evidence
infra_robotics,Infra & Robotics,HYDRONIZATION,H,0,9.27607361963,-3.37747826159,0.000731537350567,0.0117045976091,0.0010640543281,True,True,empty_current_linked_corpus
living_res,Living Res.,MARINE,M,57,12.0858895706,14.9222904466,2.36030204097e-50,1.06213591844e-48,2.83236244917e-49,True,True,observed_linked_evidence
living_res,Living Res.,MARITIME,T,0,24.6625766871,-6.6792161295,2.40223667823e-11,8.16760470597e-10,7.68715737033e-11,True,True,empty_current_linked_corpus
living_res,Living Res.,OCEANIC,O,3,18.0981595092,-4.38342889238,1.16825792724e-05,0.000245334164721,2.00272787528e-05,True,True,observed_linked_evidence
living_res,Living Res.,HYDRONIZATION,H,0,5.15337423313,-2.45072508211,0.0142568795883,0.128311916295,0.017108255506,False,True,empty_current_linked_corpus
non_living_res,Non-living Res.,MARINE,M,24,7.45296523517,6.91471297823,4.68811589598e-12,1.64084056359e-10,1.60735402148e-11,True,True,observed_linked_evidence
non_living_res,Non-living Res.,MARITIME,T,0,15.2085889571,-5.18056661544,2.21212908681e-07,5.93425202159e-06,4.61661722466e-07,True,True,empty_current_linked_corpus
