sector,sector_label,linked_evidence_count,derived_demand_count,axes_observed,empty_axis_cells,dominant_axis,dominant_axis_share,normalized_axis_entropy,mean_signal_type_richness,candidate_realms_observed,validated_translation_events,independent_validated_supply_available,shortage_claim_status,demand_articulation_count,demand_articulation_share,learning_credential_translation_count,learning_credential_translation_share,technical_operational_capability_count,technical_operational_capability_share,institutional_governance_count,institutional_governance_share,reflexive_cultural_capability_count,reflexive_cultural_capability_share
blue_biotech,Blue Biotech,136,22,2,2,MARINE,0.8529411764705882,0.30121540102022265,1.7352941176470589,4,0,False,not_computable,32,0.23529411764705882,57,0.41911764705882354,54,0.39705882352941174,53,0.3897058823529412,3,0.022058823529411766
coastal_tourism,Coastal Tourism,114,12,1,3,OCEANIC,1.0,0.0,1.543859649122807,4,0,False,not_computable,27,0.23684210526315788,40,0.3508771929824561,20,0.17543859649122806,59,0.5175438596491229,7,0.06140350877192982
desalination,Desalination,86,14,2,2,HYDRONIZATION,0.9767441860465116,0.07967503134281723,1.4534883720930232,4,0,False,not_computable,2,0.023255813953488372,17,0.19767441860465115,41,0.47674418604651164,44,0.5116279069767442,1,0.011627906976744186
infra_robotics,Infra & Robotics,108,11,2,2,MARITIME,0.9722222222222222,0.0915610341506864,1.5833333333333333,4,0,False,not_computable,6,0.05555555555555555,21,0.19444444444444445,95,0.8796296296296297,17,0.1574074074074074,0,0.0
living_res,Living Res.,60,10,2,2,MARINE,0.95,0.1431984785579781,1.3,4,0,False,not_computable,1,0.016666666666666666,5,0.08333333333333333,22,0.36666666666666664,43,0.7166666666666667,2,0.03333333333333333
non_living_res,Non-living Res.,37,10,2,2,MARINE,0.6486486486486487,0.46763456993417835,1.7297297297297298,3,0,False,not_computable,1,0.02702702702702703,0,0.0,21,0.5675675675675675,28,0.7567567567567568,0,0.0
renewable_energy,Renewable Energy,96,15,2,2,MARITIME,0.8229166666666666,0.33682735761450056,1.3020833333333333,4,0,False,not_computable,1,0.010416666666666666,13,0.13541666666666666,40,0.4166666666666667,51,0.53125,1,0.010416666666666666
maritime_defence,Maritime Defence,58,13,2,2,MARITIME,0.7758620689655172,0.38382579350628987,1.4655172413793103,4,0,False,not_computable,10,0.1724137931034483,11,0.1896551724137931,28,0.4827586206896552,26,0.4482758620689655,0,0.0
maritime_transport,Maritime Transport,98,13,2,2,MARITIME,0.826530612244898,0.3327900315733675,1.346938775510204,4,0,False,not_computable,2,0.02040816326530612,14,0.14285714285714285,36,0.3673469387755102,61,0.6224489795918368,5,0.05102040816326531
port_activities,Port Activities,91,14,2,2,MARITIME,0.9010989010989011,0.23275122454075647,1.4285714285714286,4,0,False,not_computable,6,0.06593406593406594,4,0.04395604395604396,55,0.6043956043956044,46,0.5054945054945055,1,0.01098901098901099
r_i,R&I,74,11,1,3,OCEANIC,1.0,0.0,1.445945945945946,4,0,False,not_computable,9,0.12162162162162163,19,0.25675675675675674,25,0.33783783783783783,32,0.43243243243243246,8,0.10810810810810811
ship_repair,Ship Repair,20,12,2,2,MARITIME,0.5,0.5,1.45,3,0,False,not_computable,0,0.0,1,0.05,12,0.6,9,0.45,0,0.0
