sector,sector_label,linked_evidence_count,screening_eligible_linked_evidence_count,derived_demand_count,axes_observed,empty_axis_cells,dominant_axis,dominant_axis_code,dominant_axis_status,dominant_axes,dominant_axis_codes,dominant_axis_share,normalized_axis_entropy,mean_signal_type_richness,candidate_realms_observed,validated_translation_events,independent_validated_supply_available,shortage_claim_status,screening_validation_state,analysis_scope,demand_articulation_count,demand_articulation_share,learning_credential_translation_count,learning_credential_translation_share,technical_operational_capability_count,technical_operational_capability_share,institutional_governance_count,institutional_governance_share,reflexive_cultural_capability_count,reflexive_cultural_capability_share
blue_biotech,Blue Biotech,136,136,22,2,2,MARINE,M,single_axis_maximum,MARINE,M,0.852941176471,0.30121540102,1.73529411765,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,32,0.235294117647,57,0.419117647059,54,0.397058823529,53,0.389705882353,3,0.0220588235294
coastal_tourism,Coastal Tourism,114,114,12,1,3,OCEANIC,O,single_axis_maximum,OCEANIC,O,1,0,1.54385964912,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,27,0.236842105263,40,0.350877192982,20,0.175438596491,59,0.517543859649,7,0.0614035087719
desalination,Desalination,86,86,14,2,2,HYDRONIZATION,H,single_axis_maximum,HYDRONIZATION,H,0.976744186047,0.0796750313428,1.45348837209,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,2,0.0232558139535,17,0.197674418605,41,0.476744186047,44,0.511627906977,1,0.0116279069767
infra_robotics,Infra & Robotics,108,108,11,2,2,MARITIME,T,single_axis_maximum,MARITIME,T,0.972222222222,0.0915610341507,1.58333333333,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,6,0.0555555555556,21,0.194444444444,95,0.87962962963,17,0.157407407407,0,0
living_res,Living Res.,60,60,10,2,2,MARINE,M,single_axis_maximum,MARINE,M,0.95,0.143198478558,1.3,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,1,0.0166666666667,5,0.0833333333333,22,0.366666666667,43,0.716666666667,2,0.0333333333333
non_living_res,Non-living Res.,37,37,10,2,2,MARINE,M,single_axis_maximum,MARINE,M,0.648648648649,0.467634569934,1.72972972973,3,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,1,0.027027027027,0,0,21,0.567567567568,28,0.756756756757,0,0
renewable_energy,Renewable Energy,96,96,15,2,2,MARITIME,T,single_axis_maximum,MARITIME,T,0.822916666667,0.336827357615,1.30208333333,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,1,0.0104166666667,13,0.135416666667,40,0.416666666667,51,0.53125,1,0.0104166666667
maritime_defence,Maritime Defence,58,58,13,2,2,MARITIME,T,single_axis_maximum,MARITIME,T,0.775862068966,0.383825793506,1.46551724138,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,10,0.172413793103,11,0.189655172414,28,0.48275862069,26,0.448275862069,0,0
maritime_transport,Maritime Transport,98,98,13,2,2,MARITIME,T,single_axis_maximum,MARITIME,T,0.826530612245,0.332790031573,1.34693877551,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,2,0.0204081632653,14,0.142857142857,36,0.367346938776,61,0.622448979592,5,0.0510204081633
port_activities,Port Activities,91,91,14,2,2,MARITIME,T,single_axis_maximum,MARITIME,T,0.901098901099,0.232751224541,1.42857142857,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,6,0.0659340659341,4,0.043956043956,55,0.604395604396,46,0.505494505495,1,0.010989010989
r_i,R&I,74,74,11,1,3,OCEANIC,O,single_axis_maximum,OCEANIC,O,1,0,1.44594594595,4,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,9,0.121621621622,19,0.256756756757,25,0.337837837838,32,0.432432432432,8,0.108108108108
ship_repair,Ship Repair,20,20,12,2,2,,,tied_maximum_axes,MARITIME|OCEANIC,T|O,0.5,0.5,1.45,3,0,False,not_computable,screening_only_not_validated,deterministic_screening_profile_not_validated,0,0,1,0.05,12,0.6,9,0.45,0,0
