schema_file,variable_name,code,label
coding_assignments.schema.json,code_family_code,-95,Validation error
coding_assignments.schema.json,code_family_code,-96,Restricted
coding_assignments.schema.json,code_family_code,-97,Not applicable
coding_assignments.schema.json,code_family_code,-98,Not extracted
coding_assignments.schema.json,code_family_code,-99,Unknown
coding_assignments.schema.json,code_family_code,1,sector
coding_assignments.schema.json,code_family_code,2,qmbd_axis
coding_assignments.schema.json,code_family_code,3,provider_source_type
coding_assignments.schema.json,code_family_code,4,gap_type
coding_assignments.schema.json,code_family_code,5,review_status
coding_assignments.schema.json,coder_type_code,-95,Validation error
coding_assignments.schema.json,coder_type_code,-96,Restricted
coding_assignments.schema.json,coder_type_code,-97,Not applicable
coding_assignments.schema.json,coder_type_code,-98,Not extracted
coding_assignments.schema.json,coder_type_code,-99,Unknown
coding_assignments.schema.json,coder_type_code,1,machine
coding_assignments.schema.json,coder_type_code,2,human
coding_assignments.schema.json,coder_type_code,3,machine_human_review
coding_assignments.schema.json,validation_status_code,-95,Validation error
coding_assignments.schema.json,validation_status_code,-96,Restricted
coding_assignments.schema.json,validation_status_code,-97,Not applicable
coding_assignments.schema.json,validation_status_code,-98,Not extracted
coding_assignments.schema.json,validation_status_code,-99,Unknown
coding_assignments.schema.json,validation_status_code,1,accepted
coding_assignments.schema.json,validation_status_code,2,review_required
coding_assignments.schema.json,validation_status_code,3,rejected
data_quality_indicators.schema.json,indicator_family_code,-95,Validation error
data_quality_indicators.schema.json,indicator_family_code,-96,Restricted
data_quality_indicators.schema.json,indicator_family_code,-97,Not applicable
data_quality_indicators.schema.json,indicator_family_code,-98,Not extracted
data_quality_indicators.schema.json,indicator_family_code,-99,Unknown
data_quality_indicators.schema.json,indicator_family_code,1,missingness
data_quality_indicators.schema.json,indicator_family_code,2,duplicate_rate
data_quality_indicators.schema.json,indicator_family_code,3,provider_bias
data_quality_indicators.schema.json,indicator_family_code,4,gap_priority_stability
data_quality_indicators.schema.json,indicator_family_code,5,review_required_rate
data_quality_indicators.schema.json,indicator_code,-95,Validation error
data_quality_indicators.schema.json,indicator_code,-96,Restricted
data_quality_indicators.schema.json,indicator_code,-97,Not applicable
data_quality_indicators.schema.json,indicator_code,-98,Not extracted
data_quality_indicators.schema.json,indicator_code,-99,Unknown
data_quality_indicators.schema.json,indicator_code,1,missingness_rate
data_quality_indicators.schema.json,indicator_code,2,duplicate_rate
data_quality_indicators.schema.json,indicator_code,3,provider_concentration_index
data_quality_indicators.schema.json,indicator_code,4,validation_error_rate
data_quality_indicators.schema.json,indicator_code,5,restricted_content_rate
data_quality_indicators.schema.json,indicator_code,6,review_required_rate
data_quality_indicators.schema.json,status_code,-95,Validation error
data_quality_indicators.schema.json,status_code,-96,Restricted
data_quality_indicators.schema.json,status_code,-97,Not applicable
data_quality_indicators.schema.json,status_code,-98,Not extracted
data_quality_indicators.schema.json,status_code,-99,Unknown
data_quality_indicators.schema.json,status_code,1,pass
data_quality_indicators.schema.json,status_code,2,warning
data_quality_indicators.schema.json,status_code,3,fail
dynamic_credentials.schema.json,sector_code,-95,Validation error
dynamic_credentials.schema.json,sector_code,-96,Restricted
dynamic_credentials.schema.json,sector_code,-97,Not applicable
dynamic_credentials.schema.json,sector_code,-98,Not extracted
dynamic_credentials.schema.json,sector_code,-99,Unknown
dynamic_credentials.schema.json,sector_code,1,Blue Biotech
dynamic_credentials.schema.json,sector_code,10,Port Activities
dynamic_credentials.schema.json,sector_code,11,R&I
dynamic_credentials.schema.json,sector_code,12,Ship Repair
dynamic_credentials.schema.json,sector_code,2,Coastal Tourism
dynamic_credentials.schema.json,sector_code,3,Desalination
dynamic_credentials.schema.json,sector_code,4,Infra & Robotics
dynamic_credentials.schema.json,sector_code,5,Living Res.
dynamic_credentials.schema.json,sector_code,6,Non-living Res.
dynamic_credentials.schema.json,sector_code,7,Renewable Energy
dynamic_credentials.schema.json,sector_code,8,Maritime Defence
dynamic_credentials.schema.json,sector_code,9,Maritime Transport
dynamic_credentials.schema.json,eqf_level_code,-95,Validation error
dynamic_credentials.schema.json,eqf_level_code,-96,Restricted
dynamic_credentials.schema.json,eqf_level_code,-97,Not applicable
dynamic_credentials.schema.json,eqf_level_code,-98,Not extracted
dynamic_credentials.schema.json,eqf_level_code,-99,Unknown
dynamic_credentials.schema.json,eqf_level_code,5,EQF 5
