schema_file,variable_name,label_field,measurement_level,missing_codes,allowed_values
coding_assignments.schema.json,code_family_code,code_family_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|-99|-98|-97|-96|-95
coding_assignments.schema.json,coder_type_code,coder_type_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
coding_assignments.schema.json,validation_status_code,validation_status_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
data_quality_indicators.schema.json,indicator_family_code,indicator_family_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|-99|-98|-97|-96|-95
data_quality_indicators.schema.json,indicator_code,indicator_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|6|-99|-98|-97|-96|-95
data_quality_indicators.schema.json,status_code,status_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
dynamic_credentials.schema.json,sector_code,sector_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|6|7|8|9|10|11|12|-99|-98|-97|-96|-95
dynamic_credentials.schema.json,eqf_level_code,eqf_level_label,ordinal,-99|-98|-97|-96|-95,5|6|7|-99|-98|-97|-96|-95
dynamic_credentials.schema.json,credential_status_code,credential_status_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
dynamic_credentials.schema.json,supply_origin_code,supply_origin_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|-99|-98|-97|-96|-95
dynamic_credentials.schema.json,supply_verification_status_code,supply_verification_status_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
dynamic_credentials.schema.json,review_required_code,review_required_label,nominal,-99|-98|-97|-96|-95,0|1|-99|-98|-97|-96|-95
evidence_occurrences.schema.json,dataset_code,dataset_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|-99|-98|-97|-96|-95
evidence_occurrences.schema.json,provider_code,provider_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|-99|-98|-97|-96|-95
evidence_occurrences.schema.json,occurrence_type_code,occurrence_type_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
evidence_records.schema.json,source_type_code,source_type_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|-99|-98|-97|-96|-95
evidence_records.schema.json,qmbd_axis_code,qmbd_axis_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|-99|-98|-97|-96|-95
evidence_records.schema.json,record_origin_code,record_origin_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|-99|-98|-97|-96|-95
evidence_segments.schema.json,segment_unit_code,segment_unit_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
evidence_segments.schema.json,text_scope_code,text_scope_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
gap_clusters.schema.json,sector_code,sector_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|6|7|8|9|10|11|12|-99|-98|-97|-96|-95
gap_clusters.schema.json,qmbd_axis_code,qmbd_axis_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|-99|-98|-97|-96|-95
gap_clusters.schema.json,priority_tier_code,priority_tier_label,ordinal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
gap_clusters.schema.json,review_required_code,review_required_label,nominal,-99|-98|-97|-96|-95,0|1|-99|-98|-97|-96|-95
reliability_metrics.schema.json,code_family_code,code_family_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|-99|-98|-97|-96|-95
reliability_metrics.schema.json,metric_code,metric_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|5|6|-99|-98|-97|-96|-95
reliability_metrics.schema.json,sample_type_code,sample_type_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
reliability_metrics.schema.json,status_code,status_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
runs.schema.json,analysis_input_mode_code,analysis_input_mode_label,nominal,-99|-98|-97|-96|-95,1|2|-99|-98|-97|-96|-95
runs.schema.json,is_static_recovery_mode_code,is_static_recovery_mode_label,nominal,-99|-98|-97|-96|-95,0|1|-99|-98|-97|-96|-95
runs.schema.json,workflow_event_code,workflow_event_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
source_bundles.schema.json,bundle_type_code,bundle_type_label,nominal,-99|-98|-97|-96|-95,1|2|3|-99|-98|-97|-96|-95
source_bundles.schema.json,compatibility_status_code,compatibility_status_label,nominal,-99|-98|-97|-96|-95,1|2|3|4|-99|-98|-97|-96|-95
