provider_label,sector_code,sector_label,occurrence_count
crossref,-98,Not extracted,4776
10.1002/sd.70183,-98,Not extracted,1
10.1007/1-4020-3778-3_10,-98,Not extracted,1
10.1007/1-4020-3778-3_6,-98,Not extracted,1
10.1007/978-3-030-34630-0_2,-98,Not extracted,1
10.1007/978-3-030-49540-4_6,-98,Not extracted,1
10.1007/978-3-030-69325-1_13,-98,Not extracted,1
10.1007/978-3-030-71819-0_15,-98,Not extracted,1
10.1007/978-3-030-89624-9_2,-98,Not extracted,1
10.1007/978-3-030-89624-9_26,-98,Not extracted,1
10.1007/978-3-030-89624-9_28,-98,Not extracted,1
10.1007/978-3-030-91275-8_1,-98,Not extracted,1
10.1007/978-3-031-16277-0,-98,Not extracted,1
10.1007/978-3-031-16277-0_11,-98,Not extracted,1
10.1007/978-3-031-16277-0_13,-98,Not extracted,1
10.1007/978-3-031-20740-2_1,-98,Not extracted,1
10.1007/978-3-031-56607-3_5,-98,Not extracted,1
10.1007/978-3-031-67431-0_21,-98,Not extracted,1
10.1007/978-3-031-71322-4_2,-98,Not extracted,1
10.1007/978-3-319-55074-9_35,-98,Not extracted,1
10.1007/978-3-319-62365-8,-98,Not extracted,1
10.1007/978-3-319-89740-0_8,-98,Not extracted,1
10.1007/978-3-319-98696-8_8,-98,Not extracted,1
10.1007/978-3-319-98696-8_9,-98,Not extracted,1
10.1007/978-3-319-99097-2_3,-98,Not extracted,1
10.1007/s00287-022-01475-y,-98,Not extracted,1
10.1007/s10113-024-02336-y,-98,Not extracted,1
10.1007/s10113-025-02412-x,-98,Not extracted,1
10.1007/s10499-024-01731-w,-98,Not extracted,1
10.1007/s10584-022-03310-5,-98,Not extracted,1
10.1007/s10668-018-0133-z,-98,Not extracted,1
10.1007/s11027-024-10142-4,-98,Not extracted,1
10.1007/s11160-020-09628-6,-98,Not extracted,1
10.1007/s11160-021-09636-0,-98,Not extracted,1
10.1007/s11160-021-09661-z,-98,Not extracted,1
10.1007/s11160-022-09749-0,-98,Not extracted,1
10.1007/s11625-018-0547-4,-98,Not extracted,1
10.1007/s11625-020-00796-9,-98,Not extracted,1
10.1007/s12038-023-00375-x,-98,Not extracted,1
10.1007/s13280-022-01723-1,-98,Not extracted,1
10.1007/s13437-016-0104-x,-98,Not extracted,1
10.1007/s13437-021-00233-3,-98,Not extracted,1
10.1007/s40152-018-0087-7,-98,Not extracted,1
10.1007/s40152-018-0117-5,-98,Not extracted,1
10.1007/s40152-020-00168-0,-98,Not extracted,1
10.1007/s40152-020-00179-x,-98,Not extracted,1
10.1007/s40152-020-00181-3,-98,Not extracted,1
10.1007/s40152-020-00183-1,-98,Not extracted,1
10.1007/s40152-021-00240-3,-98,Not extracted,1
10.1007/s40152-021-00243-0,-98,Not extracted,1
10.1007/s40152-023-00315-3,-98,Not extracted,1
10.1007/s40152-023-00319-z,-98,Not extracted,1
10.1007/s40152-023-00341-1,-98,Not extracted,1
10.1007/s40152-024-00387-9,-98,Not extracted,1
10.1016/b978-0-12-805375-1.00007-6,-98,Not extracted,1
10.1016/b978-0-12-814003-1.00037-x,-98,Not extracted,1
10.1016/b978-0-12-817945-1.00025-3,-98,Not extracted,1
10.1016/b978-0-12-817945-1.00034-4,-98,Not extracted,1
