gap_cluster_pk,run_pk,sector_code,sector_label,qmbd_axis_code,qmbd_axis_label,priority_tier_code,priority_tier_label,review_required_code,review_required_label,gap_ratio,priority_score
gap_pk_334cd00e1ce2f7b2,run_pk_latest,1,Blue Biotech,1,Marine,2,medium,1,Yes,1.0,0.5627
gap_pk_b4ded61a8761bd13,run_pk_latest,1,Blue Biotech,2,Maritime,2,medium,1,Yes,1.0,0.5432
gap_pk_aa16149179abdaad,run_pk_latest,1,Blue Biotech,3,Oceanic,1,high,1,Yes,1.0,0.8057
gap_pk_6bc7da7808f1e919,run_pk_latest,1,Blue Biotech,4,Hydronization,3,low,0,No,0.0,0.1429
gap_pk_1baa6d38968117c3,run_pk_latest,2,Coastal Tourism,1,Marine,2,medium,1,Yes,1.0,0.5473
gap_pk_1f9bf956f8bf6737,run_pk_latest,2,Coastal Tourism,2,Maritime,2,medium,1,Yes,1.0,0.5549
gap_pk_738f5d91dd284d8e,run_pk_latest,2,Coastal Tourism,3,Oceanic,1,high,1,Yes,1.0,0.8102
gap_pk_a81bca0ed57e903b,run_pk_latest,2,Coastal Tourism,4,Hydronization,2,medium,1,Yes,1.0,0.4509
gap_pk_e32b39b978c9aa43,run_pk_latest,3,Desalination,1,Marine,2,medium,1,Yes,1.0,0.536
gap_pk_5bcbbd5a15a6b9cd,run_pk_latest,3,Desalination,2,Maritime,2,medium,1,Yes,1.0,0.5417
gap_pk_2ff68d6c485464d2,run_pk_latest,3,Desalination,3,Oceanic,1,high,1,Yes,1.0,0.7618
gap_pk_081e5164133a811a,run_pk_latest,3,Desalination,4,Hydronization,2,medium,1,Yes,1.0,0.4922
gap_pk_85853ce13365e9ee,run_pk_latest,4,Infra & Robotics,1,Marine,2,medium,1,Yes,1.0,0.5239
gap_pk_7d4d94a226110ba3,run_pk_latest,4,Infra & Robotics,2,Maritime,2,medium,1,Yes,1.0,0.5814
gap_pk_a0754daa8cc2b6ad,run_pk_latest,4,Infra & Robotics,3,Oceanic,1,high,1,Yes,1.0,0.7176
gap_pk_ef14240f49ff53cd,run_pk_latest,4,Infra & Robotics,4,Hydronization,2,medium,1,Yes,1.0,0.5013
gap_pk_22c27dd85b520424,run_pk_latest,5,Living Res.,1,Marine,2,medium,1,Yes,1.0,0.5784
gap_pk_e8533babe358caed,run_pk_latest,5,Living Res.,2,Maritime,2,medium,1,Yes,1.0,0.5605
gap_pk_43deb60582b82bb5,run_pk_latest,5,Living Res.,3,Oceanic,1,high,1,Yes,1.0,0.8141
