provider_pk,provider_code,provider_label,provider_family_code,provider_family_label,provider_status_code,provider_status_label
provider_pk_1_crossref,1,crossref,1,research_source,1,configured
provider_pk_5_10.1002/sd.70183,5,10.1002/sd.70183,1,research_source,1,configured
provider_pk_5_10.1007/1-4020-3778-3_10,5,10.1007/1-4020-3778-3_10,1,research_source,1,configured
provider_pk_5_10.1007/1-4020-3778-3_6,5,10.1007/1-4020-3778-3_6,1,research_source,1,configured
provider_pk_5_10.1007/978-3-030-34630-0_2,5,10.1007/978-3-030-34630-0_2,1,research_source,1,configured
provider_pk_5_10.1007/978-3-030-49540-4_6,5,10.1007/978-3-030-49540-4_6,1,research_source,1,configured
provider_pk_5_10.1007/978-3-030-69325-1_13,5,10.1007/978-3-030-69325-1_13,1,research_source,1,configured
provider_pk_5_10.1007/978-3-030-71819-0_15,5,10.1007/978-3-030-71819-0_15,1,research_source,1,configured
provider_pk_5_10.1007/978-3-030-89624-9_2,5,10.1007/978-3-030-89624-9_2,1,research_source,1,configured
provider_pk_5_10.1007/978-3-030-89624-9_26,5,10.1007/978-3-030-89624-9_26,1,research_source,1,configured
provider_pk_5_10.1007/978-3-030-89624-9_28,5,10.1007/978-3-030-89624-9_28,1,research_source,1,configured
provider_pk_5_10.1007/978-3-030-91275-8_1,5,10.1007/978-3-030-91275-8_1,1,research_source,1,configured
provider_pk_5_10.1007/978-3-031-16277-0,5,10.1007/978-3-031-16277-0,1,research_source,1,configured
provider_pk_5_10.1007/978-3-031-16277-0_11,5,10.1007/978-3-031-16277-0_11,1,research_source,1,configured
provider_pk_5_10.1007/978-3-031-16277-0_13,5,10.1007/978-3-031-16277-0_13,1,research_source,1,configured
provider_pk_5_10.1007/978-3-031-20740-2_1,5,10.1007/978-3-031-20740-2_1,1,research_source,1,configured
provider_pk_5_10.1007/978-3-031-56607-3_5,5,10.1007/978-3-031-56607-3_5,1,research_source,1,configured
provider_pk_5_10.1007/978-3-031-67431-0_21,5,10.1007/978-3-031-67431-0_21,1,research_source,1,configured
provider_pk_5_10.1007/978-3-031-71322-4_2,5,10.1007/978-3-031-71322-4_2,1,research_source,1,configured
provider_pk_5_10.1007/978-3-319-55074-9_35,5,10.1007/978-3-319-55074-9_35,1,research_source,1,configured
provider_pk_5_10.1007/978-3-319-62365-8,5,10.1007/978-3-319-62365-8,1,research_source,1,configured
provider_pk_5_10.1007/978-3-319-89740-0_8,5,10.1007/978-3-319-89740-0_8,1,research_source,1,configured
provider_pk_5_10.1007/978-3-319-98696-8_8,5,10.1007/978-3-319-98696-8_8,1,research_source,1,configured
provider_pk_5_10.1007/978-3-319-98696-8_9,5,10.1007/978-3-319-98696-8_9,1,research_source,1,configured
provider_pk_5_10.1007/978-3-319-99097-2_3,5,10.1007/978-3-319-99097-2_3,1,research_source,1,configured
provider_pk_5_10.1007/s00287-022-01475-y,5,10.1007/s00287-022-01475-y,1,research_source,1,configured
provider_pk_5_10.1007/s10113-024-02336-y,5,10.1007/s10113-024-02336-y,1,research_source,1,configured
provider_pk_5_10.1007/s10113-025-02412-x,5,10.1007/s10113-025-02412-x,1,research_source,1,configured
provider_pk_5_10.1007/s10499-024-01731-w,5,10.1007/s10499-024-01731-w,1,research_source,1,configured
provider_pk_5_10.1007/s10584-022-03310-5,5,10.1007/s10584-022-03310-5,1,research_source,1,configured
provider_pk_5_10.1007/s10668-018-0133-z,5,10.1007/s10668-018-0133-z,1,research_source,1,configured
provider_pk_5_10.1007/s11027-024-10142-4,5,10.1007/s11027-024-10142-4,1,research_source,1,configured
provider_pk_5_10.1007/s11160-020-09628-6,5,10.1007/s11160-020-09628-6,1,research_source,1,configured
provider_pk_5_10.1007/s11160-021-09636-0,5,10.1007/s11160-021-09636-0,1,research_source,1,configured
provider_pk_5_10.1007/s11160-021-09661-z,5,10.1007/s11160-021-09661-z,1,research_source,1,configured
provider_pk_5_10.1007/s11160-022-09749-0,5,10.1007/s11160-022-09749-0,1,research_source,1,configured
provider_pk_5_10.1007/s11625-018-0547-4,5,10.1007/s11625-018-0547-4,1,research_source,1,configured
provider_pk_5_10.1007/s11625-020-00796-9,5,10.1007/s11625-020-00796-9,1,research_source,1,configured
provider_pk_5_10.1007/s12038-023-00375-x,5,10.1007/s12038-023-00375-x,1,research_source,1,configured
provider_pk_5_10.1007/s13280-022-01723-1,5,10.1007/s13280-022-01723-1,1,research_source,1,configured
provider_pk_5_10.1007/s13437-016-0104-x,5,10.1007/s13437-016-0104-x,1,research_source,1,configured
provider_pk_5_10.1007/s13437-021-00233-3,5,10.1007/s13437-021-00233-3,1,research_source,1,configured
provider_pk_5_10.1007/s40152-018-0087-7,5,10.1007/s40152-018-0087-7,1,research_source,1,configured
provider_pk_5_10.1007/s40152-018-0117-5,5,10.1007/s40152-018-0117-5,1,research_source,1,configured
provider_pk_5_10.1007/s40152-020-00168-0,5,10.1007/s40152-020-00168-0,1,research_source,1,configured
provider_pk_5_10.1007/s40152-020-00179-x,5,10.1007/s40152-020-00179-x,1,research_source,1,configured
provider_pk_5_10.1007/s40152-020-00181-3,5,10.1007/s40152-020-00181-3,1,research_source,1,configured
provider_pk_5_10.1007/s40152-020-00183-1,5,10.1007/s40152-020-00183-1,1,research_source,1,configured
provider_pk_5_10.1007/s40152-021-00240-3,5,10.1007/s40152-021-00240-3,1,research_source,1,configured
provider_pk_5_10.1007/s40152-021-00243-0,5,10.1007/s40152-021-00243-0,1,research_source,1,configured
provider_pk_5_10.1007/s40152-023-00315-3,5,10.1007/s40152-023-00315-3,1,research_source,1,configured
provider_pk_5_10.1007/s40152-023-00319-z,5,10.1007/s40152-023-00319-z,1,research_source,1,configured
provider_pk_5_10.1007/s40152-023-00341-1,5,10.1007/s40152-023-00341-1,1,research_source,1,configured
provider_pk_5_10.1007/s40152-024-00387-9,5,10.1007/s40152-024-00387-9,1,research_source,1,configured
