sector,provider,query,record_count
"Offshore Energy (Wind, Wave, Tidal)",crossref,offshore wind energy marine spatial planning,58
"Offshore Energy (Wind, Wave, Tidal)",scopus,offshore wind energy marine spatial planning,0
"Offshore Energy (Wind, Wave, Tidal)",wos,offshore wind energy marine spatial planning,0
"Offshore Energy (Wind, Wave, Tidal)",scival,offshore wind energy marine spatial planning,0
"Offshore Energy (Wind, Wave, Tidal)",crossref,ocean renewable energy governance sustainability,24
"Offshore Energy (Wind, Wave, Tidal)",scopus,ocean renewable energy governance sustainability,0
"Offshore Energy (Wind, Wave, Tidal)",wos,ocean renewable energy governance sustainability,0
"Offshore Energy (Wind, Wave, Tidal)",scival,ocean renewable energy governance sustainability,0
"Offshore Energy (Wind, Wave, Tidal)",crossref,tidal energy wave energy environmental impact,2
"Offshore Energy (Wind, Wave, Tidal)",scopus,tidal energy wave energy environmental impact,0
"Offshore Energy (Wind, Wave, Tidal)",wos,tidal energy wave energy environmental impact,0
"Offshore Energy (Wind, Wave, Tidal)",scival,tidal energy wave energy environmental impact,0
Ports and Harbours,crossref,port governance maritime logistics sustainability,16
Ports and Harbours,scopus,port governance maritime logistics sustainability,0
Ports and Harbours,wos,port governance maritime logistics sustainability,0
Ports and Harbours,scival,port governance maritime logistics sustainability,0
Ports and Harbours,crossref,smart ports digital transformation blue economy,31
Ports and Harbours,scopus,smart ports digital transformation blue economy,0
Ports and Harbours,wos,smart ports digital transformation blue economy,0
Ports and Harbours,scival,smart ports digital transformation blue economy,0
Ports and Harbours,crossref,port environmental management coastal infrastructure,14
Ports and Harbours,scopus,port environmental management coastal infrastructure,0
Ports and Harbours,wos,port environmental management coastal infrastructure,0
Ports and Harbours,scival,port environmental management coastal infrastructure,0
Maritime Transport and Shipping,crossref,maritime transport decarbonization emissions reduction,0
Maritime Transport and Shipping,scopus,maritime transport decarbonization emissions reduction,0
Maritime Transport and Shipping,wos,maritime transport decarbonization emissions reduction,0
Maritime Transport and Shipping,scival,maritime transport decarbonization emissions reduction,0
Maritime Transport and Shipping,crossref,shipping governance international regulations IMO,0
Maritime Transport and Shipping,scopus,shipping governance international regulations IMO,0
Maritime Transport and Shipping,wos,shipping governance international regulations IMO,0
Maritime Transport and Shipping,scival,shipping governance international regulations IMO,0
Maritime Transport and Shipping,crossref,maritime safety maritime labour conditions,0
Maritime Transport and Shipping,scopus,maritime safety maritime labour conditions,0
Maritime Transport and Shipping,wos,maritime safety maritime labour conditions,0
Maritime Transport and Shipping,scival,maritime safety maritime labour conditions,0
Fisheries and Fishing Communities,crossref,fisheries management sustainability overfishing,9
Fisheries and Fishing Communities,scopus,fisheries management sustainability overfishing,0
Fisheries and Fishing Communities,wos,fisheries management sustainability overfishing,0
Fisheries and Fishing Communities,scival,fisheries management sustainability overfishing,0
Fisheries and Fishing Communities,crossref,small-scale fisheries livelihoods blue economy,24
Fisheries and Fishing Communities,scopus,small-scale fisheries livelihoods blue economy,0
Fisheries and Fishing Communities,wos,small-scale fisheries livelihoods blue economy,0
Fisheries and Fishing Communities,scival,small-scale fisheries livelihoods blue economy,0
Fisheries and Fishing Communities,crossref,fisheries governance marine protected areas,14
Fisheries and Fishing Communities,scopus,fisheries governance marine protected areas,0
Fisheries and Fishing Communities,wos,fisheries governance marine protected areas,0
Fisheries and Fishing Communities,scival,fisheries governance marine protected areas,0
Aquaculture and Mariculture,crossref,aquaculture sustainability environmental impact social,6
Aquaculture and Mariculture,scopus,aquaculture sustainability environmental impact social,0
Aquaculture and Mariculture,wos,aquaculture sustainability environmental impact social,0
Aquaculture and Mariculture,scival,aquaculture sustainability environmental impact social,0
Aquaculture and Mariculture,crossref,mariculture seaweed farming blue bioeconomy,0
Aquaculture and Mariculture,scopus,mariculture seaweed farming blue bioeconomy,0
Aquaculture and Mariculture,wos,mariculture seaweed farming blue bioeconomy,0
Aquaculture and Mariculture,scival,mariculture seaweed farming blue bioeconomy,0
Aquaculture and Mariculture,crossref,aquaculture governance social licence coastal communities,20
Aquaculture and Mariculture,scopus,aquaculture governance social licence coastal communities,0
Aquaculture and Mariculture,wos,aquaculture governance social licence coastal communities,0
Aquaculture and Mariculture,scival,aquaculture governance social licence coastal communities,0
Coastal and Marine Tourism,crossref,coastal tourism sustainability overtourism management,5
Coastal and Marine Tourism,scopus,coastal tourism sustainability overtourism management,0
Coastal and Marine Tourism,wos,coastal tourism sustainability overtourism management,0
Coastal and Marine Tourism,scival,coastal tourism sustainability overtourism management,0
Coastal and Marine Tourism,crossref,marine ecotourism blue economy livelihoods,7
Coastal and Marine Tourism,scopus,marine ecotourism blue economy livelihoods,0
Coastal and Marine Tourism,wos,marine ecotourism blue economy livelihoods,0
Coastal and Marine Tourism,scival,marine ecotourism blue economy livelihoods,0
Coastal and Marine Tourism,crossref,cruise tourism environmental impact governance,2
Coastal and Marine Tourism,scopus,cruise tourism environmental impact governance,0
Coastal and Marine Tourism,wos,cruise tourism environmental impact governance,0
Coastal and Marine Tourism,scival,cruise tourism environmental impact governance,0
Marine Biotechnology and Blue Bioeconomy,crossref,marine biotechnology blue bioeconomy innovation,0
Marine Biotechnology and Blue Bioeconomy,scopus,marine biotechnology blue bioeconomy innovation,0
Marine Biotechnology and Blue Bioeconomy,wos,marine biotechnology blue bioeconomy innovation,0
Marine Biotechnology and Blue Bioeconomy,scival,marine biotechnology blue bioeconomy innovation,0
Marine Biotechnology and Blue Bioeconomy,crossref,bioprospecting marine genetic resources governance,0
Marine Biotechnology and Blue Bioeconomy,scopus,bioprospecting marine genetic resources governance,0
Marine Biotechnology and Blue Bioeconomy,wos,bioprospecting marine genetic resources governance,0
Marine Biotechnology and Blue Bioeconomy,scival,bioprospecting marine genetic resources governance,0
Marine Biotechnology and Blue Bioeconomy,crossref,marine biomaterials pharmaceuticals sustainability,0
Marine Biotechnology and Blue Bioeconomy,scopus,marine biomaterials pharmaceuticals sustainability,0
Marine Biotechnology and Blue Bioeconomy,wos,marine biomaterials pharmaceuticals sustainability,0
Marine Biotechnology and Blue Bioeconomy,scival,marine biomaterials pharmaceuticals sustainability,0
Ocean Governance and Marine Policy,crossref,ocean governance marine spatial planning sustainability,14
Ocean Governance and Marine Policy,scopus,ocean governance marine spatial planning sustainability,0
Ocean Governance and Marine Policy,wos,ocean governance marine spatial planning sustainability,0
Ocean Governance and Marine Policy,scival,ocean governance marine spatial planning sustainability,0
Ocean Governance and Marine Policy,crossref,law of the sea UNCLOS blue economy,171
Ocean Governance and Marine Policy,scopus,law of the sea UNCLOS blue economy,0
Ocean Governance and Marine Policy,wos,law of the sea UNCLOS blue economy,0
Ocean Governance and Marine Policy,scival,law of the sea UNCLOS blue economy,0
Ocean Governance and Marine Policy,crossref,ocean policy transboundary governance blue growth,15
Ocean Governance and Marine Policy,scopus,ocean policy transboundary governance blue growth,0
Ocean Governance and Marine Policy,wos,ocean policy transboundary governance blue growth,0
Ocean Governance and Marine Policy,scival,ocean policy transboundary governance blue growth,0
Marine Conservation and Protected Areas,crossref,marine protected areas effectiveness governance,0
Marine Conservation and Protected Areas,scopus,marine protected areas effectiveness governance,0
Marine Conservation and Protected Areas,wos,marine protected areas effectiveness governance,0
Marine Conservation and Protected Areas,scival,marine protected areas effectiveness governance,0
Marine Conservation and Protected Areas,crossref,marine biodiversity conservation blue economy,1
Marine Conservation and Protected Areas,scopus,marine biodiversity conservation blue economy,0
Marine Conservation and Protected Areas,wos,marine biodiversity conservation blue economy,0
Marine Conservation and Protected Areas,scival,marine biodiversity conservation blue economy,0
Marine Conservation and Protected Areas,crossref,ecosystem-based management ocean literacy,4
Marine Conservation and Protected Areas,scopus,ecosystem-based management ocean literacy,0
Marine Conservation and Protected Areas,wos,ecosystem-based management ocean literacy,0
Marine Conservation and Protected Areas,scival,ecosystem-based management ocean literacy,0
Climate Change and Ocean Health,crossref,ocean acidification climate change marine ecosystems,3
Climate Change and Ocean Health,scopus,ocean acidification climate change marine ecosystems,0
Climate Change and Ocean Health,wos,ocean acidification climate change marine ecosystems,0
Climate Change and Ocean Health,scival,ocean acidification climate change marine ecosystems,0
Climate Change and Ocean Health,crossref,sea level rise coastal adaptation governance,11
Climate Change and Ocean Health,scopus,sea level rise coastal adaptation governance,0
Climate Change and Ocean Health,wos,sea level rise coastal adaptation governance,0
Climate Change and Ocean Health,scival,sea level rise coastal adaptation governance,0
Climate Change and Ocean Health,crossref,ocean warming biodiversity climate mitigation,0
Climate Change and Ocean Health,scopus,ocean warming biodiversity climate mitigation,0
Climate Change and Ocean Health,wos,ocean warming biodiversity climate mitigation,0
Climate Change and Ocean Health,scival,ocean warming biodiversity climate mitigation,0
Ocean Observation and Data Infrastructure,crossref,ocean observation marine monitoring sustainability,0
Ocean Observation and Data Infrastructure,scopus,ocean observation marine monitoring sustainability,0
Ocean Observation and Data Infrastructure,wos,ocean observation marine monitoring sustainability,0
Ocean Observation and Data Infrastructure,scival,ocean observation marine monitoring sustainability,0
Ocean Observation and Data Infrastructure,crossref,ocean data governance FAIR principles,0
