dedupe_value,first_seen_timestamp_utc,first_seen_run_id,last_seen_timestamp_utc,last_seen_run_id,run_count,occurrence_count,datasets,record_origins,axis_names,dois,source_ids,titles
10.1002/2688-8319.70039/v1/review1,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/2688-8319.70039/v1/review1,crossref:10.1002/2688-8319.70039/v1/review1,"Review for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?"""
10.1002/2688-8319.70039/v3/decision1,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/2688-8319.70039/v3/decision1,crossref:10.1002/2688-8319.70039/v3/decision1,"Decision letter for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?"""
10.1002/9780470693919.ch14,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9780470693919.ch14,crossref:10.1002/9780470693919.ch14,"Marine Protected Areas, Fish and Fisheries"
10.1002/9780470697597.ch5,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9780470697597.ch5,crossref:10.1002/9780470697597.ch5,Marine Recreational Fisheries Management Challenges and Marine Protected Areas: Comparison Between the Mediterranean and Australia
10.1002/9781118371220.ch1,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9781118371220.ch1,crossref:10.1002/9781118371220.ch1,Elements of Sustainability and Bioremediation
10.1002/9781118476406.emoe200,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9781118476406.emoe200,crossref:10.1002/9781118476406.emoe200,Port Logistics and Hinterland Development
10.1002/9781119014492.ch11,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9781119014492.ch11,crossref:10.1002/9781119014492.ch11,The Economics of Wave and Tidal Energy
10.1002/9781119014492.ch3,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9781119014492.ch3,crossref:10.1002/9781119014492.ch3,Wave Energy Technology
10.1002/9781119014492.ch4,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9781119014492.ch4,crossref:10.1002/9781119014492.ch4,Tidal Energy Technology
10.1002/9781119014492.epil,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9781119014492.epil,crossref:10.1002/9781119014492.epil,Epilogue: The Future of Wave and Tidal Energy
10.1002/9781119075806.ch1,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9781119075806.ch1,crossref:10.1002/9781119075806.ch1,From Marine Protected Areas to MPA Networks
10.1002/9781119075806.ch5,2026-07-02T22:32:01+00:00,28625632237-1,2026-07-02T22:32:01+00:00,28625632237-1,1,3,cumulative_qmbd_records|live_records|live_records_triangulated,LIVE_API,,10.1002/9781119075806.ch5,crossref:10.1002/9781119075806.ch5,Marine Protected Areas as Spatial Protection Measures under the Marine Strategy Framework Directive
