run_id,run_path,timestamp_utc,manifest_timestamp_utc,dataset,record_index,dedupe_value,dedupe_field_used,doi,source_id,title,record_origin,axis_name
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1275,10.1002/2688-8319.70039/v1/review1,doi,10.1002/2688-8319.70039/v1/review1,crossref:10.1002/2688-8319.70039/v1/review1,"Review for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,809,10.1002/2688-8319.70039/v1/review1,doi,10.1002/2688-8319.70039/v1/review1,crossref:10.1002/2688-8319.70039/v1/review1,"Review for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,809,10.1002/2688-8319.70039/v1/review1,doi,10.1002/2688-8319.70039/v1/review1,crossref:10.1002/2688-8319.70039/v1/review1,"Review for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1289,10.1002/2688-8319.70039/v3/decision1,doi,10.1002/2688-8319.70039/v3/decision1,crossref:10.1002/2688-8319.70039/v3/decision1,"Decision letter for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,823,10.1002/2688-8319.70039/v3/decision1,doi,10.1002/2688-8319.70039/v3/decision1,crossref:10.1002/2688-8319.70039/v3/decision1,"Decision letter for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,823,10.1002/2688-8319.70039/v3/decision1,doi,10.1002/2688-8319.70039/v3/decision1,crossref:10.1002/2688-8319.70039/v3/decision1,"Decision letter for ""Fishing, offshore wind energy, climate change and marine spatial planning: Is it possible to plan for a best use of space?""",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1074,10.1002/9780470693919.ch14,doi,10.1002/9780470693919.ch14,crossref:10.1002/9780470693919.ch14,"Marine Protected Areas, Fish and Fisheries",LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,608,10.1002/9780470693919.ch14,doi,10.1002/9780470693919.ch14,crossref:10.1002/9780470693919.ch14,"Marine Protected Areas, Fish and Fisheries",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,608,10.1002/9780470693919.ch14,doi,10.1002/9780470693919.ch14,crossref:10.1002/9780470693919.ch14,"Marine Protected Areas, Fish and Fisheries",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1073,10.1002/9780470697597.ch5,doi,10.1002/9780470697597.ch5,crossref:10.1002/9780470697597.ch5,Marine Recreational Fisheries Management Challenges and Marine Protected Areas: Comparison Between the Mediterranean and Australia,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,607,10.1002/9780470697597.ch5,doi,10.1002/9780470697597.ch5,crossref:10.1002/9780470697597.ch5,Marine Recreational Fisheries Management Challenges and Marine Protected Areas: Comparison Between the Mediterranean and Australia,,
