Sector,Required,Available,Missing,Gap %,Missing MARINE,Missing MARITIME,Missing OCEANIC
Blue Biotech,536,15,521,97.2,39,25,456
Coastal Tourism,535,15,520,97.2,29,38,451
Desalination,492,15,477,97.0,6,26,429
Infra & Robotics,520,15,505,97.1,3,56,420
Living Res.,621,15,606,97.6,61,45,500
Non-living Res.,536,15,521,97.2,31,22,468
Renewable Energy,515,15,500,97.1,17,26,455
Maritime Defence,512,15,497,97.1,3,109,385
Maritime Transport,634,15,619,97.6,3,202,414
Port Activities,606,15,591,97.5,7,211,369
R&I,609,15,594,97.5,39,33,522
Ship Repair,506,15,491,97.0,4,77,408
