Sector,Required,Available,Missing,Gap %,Missing MARINE,Missing MARITIME,Missing OCEANIC
Blue Biotech,1339,15,1324,98.9,166,31,1119
Coastal Tourism,1262,15,1247,98.8,131,82,986
Desalination,1271,15,1256,98.8,48,146,1035
Infra & Robotics,1318,15,1303,98.9,49,132,1104
Living Res.,1779,15,1764,99.2,291,75,1385
Non-living Res.,1420,15,1405,98.9,117,65,1208
Renewable Energy,1463,15,1448,99.0,113,117,1202
Maritime Defence,1354,15,1339,98.9,47,200,1086
Maritime Transport,1769,15,1754,99.2,37,428,1282
Port Activities,1541,15,1526,99.0,74,354,1082
R&I,1404,15,1389,98.9,131,82,1161
Ship Repair,1393,15,1378,98.9,25,266,1083
